#    L    TT             EE             TE             PP             TP          
     2    0.11339E+04    0.54881E-01    0.34357E+01    0.10135E+07    0.31939E+05
     3    0.10543E+04    0.88313E-01    0.42810E+01    0.15601E+07    0.37931E+05
     4    0.98072E+03    0.97755E-01    0.43769E+01    0.20440E+07    0.40731E+05
     5    0.92413E+03    0.85339E-01    0.40356E+01    0.24704E+07    0.41805E+05
     6    0.88302E+03    0.62030E-01    0.34942E+01    0.28462E+07    0.41929E+05
     7    0.85442E+03    0.38882E-01    0.29008E+01    0.31789E+07    0.41524E+05
     8    0.83503E+03    0.22214E-01    0.23442E+01    0.34745E+07    0.40775E+05
     9    0.82268E+03    0.13102E-01    0.18693E+01    0.37383E+07    0.39788E+05
    10    0.81580E+03    0.94189E-02    0.15002E+01    0.39741E+07    0.38668E+05
    11    0.81282E+03    0.82921E-02    0.12448E+01    0.41864E+07    0.37539E+05
    12    0.81381E+03    0.77394E-02    0.11004E+01    0.43767E+07    0.36462E+05
    13    0.81699E+03    0.69105E-02    0.10428E+01    0.45475E+07    0.35442E+05
    14    0.82140E+03    0.60050E-02    0.10432E+01    0.47015E+07    0.34466E+05
    15    0.82730E+03    0.53139E-02    0.10824E+01    0.48402E+07    0.33505E+05
    16    0.83506E+03    0.50432E-02    0.11448E+01    0.49652E+07    0.32535E+05
    17    0.84461E+03    0.51887E-02    0.12152E+01    0.50779E+07    0.31583E+05
    18    0.85498E+03    0.55086E-02    0.12822E+01    0.51796E+07    0.30679E+05
    19    0.86701E+03    0.58699E-02    0.13402E+01    0.52710E+07    0.29815E+05
    20    0.87901E+03    0.62506E-02    0.13845E+01    0.53528E+07    0.28977E+05
    21    0.89133E+03    0.66954E-02    0.14209E+01    0.54259E+07    0.28160E+05
    22    0.90423E+03    0.73363E-02    0.14559E+01    0.54915E+07    0.27363E+05
    23    0.91753E+03    0.82281E-02    0.14911E+01    0.55500E+07    0.26592E+05
    24    0.93127E+03    0.93664E-02    0.15271E+01    0.56018E+07    0.25857E+05
    25    0.94541E+03    0.10761E-01    0.15659E+01    0.56476E+07    0.25156E+05
    26    0.95974E+03    0.12379E-01    0.16100E+01    0.56879E+07    0.24488E+05
    27    0.97451E+03    0.14178E-01    0.16564E+01    0.57232E+07    0.23847E+05
    28    0.98956E+03    0.16144E-01    0.17024E+01    0.57539E+07    0.23228E+05
    29    0.10050E+04    0.18287E-01    0.17460E+01    0.57799E+07    0.22636E+05
    30    0.10206E+04    0.20624E-01    0.17841E+01    0.58015E+07    0.22074E+05
    31    0.10364E+04    0.23139E-01    0.18143E+01    0.58191E+07    0.21536E+05
    32    0.10525E+04    0.25807E-01    0.18344E+01    0.58334E+07    0.21016E+05
    33    0.10690E+04    0.28638E-01    0.18417E+01    0.58445E+07    0.20508E+05
    34    0.10857E+04    0.31662E-01    0.18354E+01    0.58525E+07    0.20010E+05
    35    0.11026E+04    0.34900E-01    0.18197E+01    0.58577E+07    0.19522E+05
    36    0.11195E+04    0.38375E-01    0.17976E+01    0.58604E+07    0.19048E+05
    37    0.11366E+04    0.42077E-01    0.17652E+01    0.58606E+07    0.18595E+05
    38    0.11541E+04    0.46003E-01    0.17202E+01    0.58585E+07    0.18172E+05
    39    0.11719E+04    0.50166E-01    0.16648E+01    0.58544E+07    0.17771E+05
    40    0.11899E+04    0.54586E-01    0.16018E+01    0.58482E+07    0.17385E+05
    41    0.12082E+04    0.59283E-01    0.15331E+01    0.58401E+07    0.17006E+05
    42    0.12264E+04    0.64259E-01    0.14568E+01    0.58302E+07    0.16634E+05
    43    0.12447E+04    0.69510E-01    0.13701E+01    0.58187E+07    0.16271E+05
    44    0.12631E+04    0.75017E-01    0.12710E+01    0.58056E+07    0.15918E+05
    45    0.12818E+04    0.80771E-01    0.11577E+01    0.57912E+07    0.15577E+05
    46    0.13008E+04    0.86771E-01    0.10271E+01    0.57754E+07    0.15248E+05
    47    0.13200E+04    0.93017E-01    0.88096E+00    0.57584E+07    0.14931E+05
    48    0.13392E+04    0.99521E-01    0.72492E+00    0.57403E+07    0.14622E+05
    49    0.13586E+04    0.10627E+00    0.56405E+00    0.57212E+07    0.14320E+05
    50    0.13784E+04    0.11325E+00    0.39665E+00    0.57011E+07    0.14023E+05
    51    0.13983E+04    0.12044E+00    0.21915E+00    0.56801E+07    0.13728E+05
    52    0.14187E+04    0.12791E+00    0.26353E-01    0.56583E+07    0.13437E+05
    53    0.14391E+04    0.13581E+00   -0.18554E+00    0.56357E+07    0.13155E+05
    54    0.14594E+04    0.14413E+00   -0.41234E+00    0.56125E+07    0.12882E+05
    55    0.14798E+04    0.15284E+00   -0.64976E+00    0.55885E+07    0.12622E+05
    56    0.15006E+04    0.16179E+00   -0.89958E+00    0.55640E+07    0.12376E+05
    57    0.15217E+04    0.17088E+00   -0.11616E+01    0.55388E+07    0.12143E+05
    58    0.15430E+04    0.18012E+00   -0.14365E+01    0.55131E+07    0.11921E+05
    59    0.15645E+04    0.18955E+00   -0.17248E+01    0.54869E+07    0.11707E+05
    60    0.15862E+04    0.19923E+00   -0.20257E+01    0.54602E+07    0.11497E+05
    61    0.16084E+04    0.20925E+00   -0.23382E+01    0.54331E+07    0.11291E+05
    62    0.16304E+04    0.21960E+00   -0.26633E+01    0.54055E+07    0.11087E+05
    63    0.16526E+04    0.23023E+00   -0.30021E+01    0.53776E+07    0.10885E+05
    64    0.16751E+04    0.24116E+00   -0.33559E+01    0.53494E+07    0.10684E+05
    65    0.16977E+04    0.25236E+00   -0.37253E+01    0.53209E+07    0.10484E+05
    66    0.17206E+04    0.26376E+00   -0.41087E+01    0.52922E+07    0.10285E+05
    67    0.17436E+04    0.27536E+00   -0.45032E+01    0.52633E+07    0.10088E+05
    68    0.17671E+04    0.28719E+00   -0.49069E+01    0.52342E+07    0.98958E+04
    69    0.17908E+04    0.29924E+00   -0.53180E+01    0.52050E+07    0.97092E+04
    70    0.18147E+04    0.31152E+00   -0.57380E+01    0.51757E+07    0.95304E+04
    71    0.18388E+04    0.32404E+00   -0.61692E+01    0.51462E+07    0.93604E+04
    72    0.18631E+04    0.33676E+00   -0.66131E+01    0.51167E+07    0.91986E+04
    73    0.18875E+04    0.34966E+00   -0.70704E+01    0.50871E+07    0.90437E+04
    74    0.19121E+04    0.36271E+00   -0.75402E+01    0.50574E+07    0.88944E+04
    75    0.19371E+04    0.37594E+00   -0.80212E+01    0.50276E+07    0.87494E+04
    76    0.19623E+04    0.38934E+00   -0.85127E+01    0.49977E+07    0.86075E+04
    77    0.19878E+04    0.40291E+00   -0.90147E+01    0.49678E+07    0.84680E+04
    78    0.20137E+04    0.41666E+00   -0.95286E+01    0.49378E+07    0.83304E+04
    79    0.20398E+04    0.43055E+00   -0.10050E+02    0.49078E+07    0.81940E+04
    80    0.20661E+04    0.44458E+00   -0.10582E+02    0.48778E+07    0.80582E+04
    81    0.20926E+04    0.45869E+00   -0.11123E+02    0.48478E+07    0.79227E+04
    82    0.21194E+04    0.47292E+00   -0.11673E+02    0.48179E+07    0.77880E+04
    83    0.21463E+04    0.48723E+00   -0.12231E+02    0.47880E+07    0.76548E+04
    84    0.21735E+04    0.50162E+00   -0.12796E+02    0.47582E+07    0.75240E+04
    85    0.22009E+04    0.51607E+00   -0.13369E+02    0.47284E+07    0.73962E+04
    86    0.22284E+04    0.53058E+00   -0.13947E+02    0.46987E+07    0.72721E+04
