#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
     2    0.11339E+04    0.34357E+01    0.13988E-02    0.16808E-02    0.34357E+01    0.54881E-01   -0.66868E-05    0.19721E-04    0.13988E-02   -0.66868E-05    0.81432E-08   -0.98440E-09    0.16808E-02    0.19721E-04   -0.98440E-09    0.13629E-04
     3    0.10543E+04    0.42810E+01    0.98443E-03    0.19051E-02    0.42810E+01    0.88313E-01   -0.57379E-05    0.38447E-04    0.98443E-03   -0.57379E-05    0.49518E-08   -0.91059E-09    0.19051E-02    0.38447E-04   -0.91059E-09    0.29428E-04
     4    0.98072E+03    0.43769E+01    0.74328E-03    0.18476E-02    0.43769E+01    0.97755E-01   -0.44323E-05    0.60222E-04    0.74328E-03   -0.44323E-05    0.34213E-08   -0.90176E-09    0.18476E-02    0.60222E-04   -0.90176E-09    0.50968E-04
     5    0.92413E+03    0.40356E+01    0.58589E-03    0.15515E-02    0.40356E+01    0.85339E-01   -0.31514E-05    0.81390E-04    0.58589E-03   -0.31514E-05    0.25406E-08   -0.87832E-09    0.15515E-02    0.81390E-04   -0.87832E-09    0.76659E-04
     6    0.88302E+03    0.34942E+01    0.47608E-03    0.10566E-02    0.34942E+01    0.62030E-01   -0.20283E-05    0.98087E-04    0.47608E-03   -0.20283E-05    0.19763E-08   -0.92915E-09    0.10566E-02    0.98087E-04   -0.92915E-09    0.10727E-03
     7    0.85442E+03    0.29008E+01    0.39588E-03    0.28904E-03    0.29008E+01    0.38882E-01   -0.11203E-05    0.10872E-03    0.39588E-03   -0.11203E-05    0.15886E-08   -0.12101E-08    0.28904E-03    0.10872E-03   -0.12101E-08    0.14297E-03
     8    0.83503E+03    0.23442E+01    0.33483E-03   -0.32686E-03    0.23442E+01    0.22214E-01   -0.44784E-06    0.10432E-03    0.33483E-03   -0.44784E-06    0.13086E-08   -0.12283E-08   -0.32686E-03    0.10432E-03   -0.12283E-08    0.18370E-03
     9    0.82268E+03    0.18693E+01    0.28684E-03   -0.12471E-02    0.18693E+01    0.13102E-01   -0.34646E-08    0.90839E-04    0.28684E-03   -0.34646E-08    0.10987E-08   -0.14218E-08   -0.12471E-02    0.90839E-04   -0.14218E-08    0.22950E-03
    10    0.81580E+03    0.15002E+01    0.24838E-03   -0.17496E-02    0.15002E+01    0.94189E-02    0.24621E-06    0.66583E-04    0.24838E-03    0.24621E-06    0.93662E-09   -0.13072E-08   -0.17496E-02    0.66583E-04   -0.13072E-08    0.28029E-03
    11    0.81282E+03    0.12448E+01    0.21740E-03   -0.25799E-02    0.12448E+01    0.82921E-02    0.34873E-06    0.34018E-04    0.21740E-03    0.34873E-06    0.80866E-09   -0.14545E-08   -0.25799E-02    0.34018E-04   -0.14545E-08    0.33614E-03
    12    0.81381E+03    0.11004E+01    0.19219E-03   -0.36159E-02    0.11004E+01    0.77394E-02    0.34814E-06   -0.49595E-05    0.19219E-03    0.34814E-06    0.70534E-09   -0.16960E-08   -0.36159E-02   -0.49595E-05   -0.16960E-08    0.39702E-03
    13    0.81699E+03    0.10428E+01    0.17145E-03   -0.45084E-02    0.10428E+01    0.69105E-02    0.27850E-06   -0.43932E-04    0.17145E-03    0.27850E-06    0.62087E-09   -0.18502E-08   -0.45084E-02   -0.43932E-04   -0.18502E-08    0.46285E-03
    14    0.82140E+03    0.10432E+01    0.15402E-03   -0.50509E-02    0.10432E+01    0.60050E-02    0.17173E-06   -0.76154E-04    0.15402E-03    0.17173E-06    0.55062E-09   -0.18588E-08   -0.50509E-02   -0.76154E-04   -0.18588E-08    0.53360E-03
    15    0.82730E+03    0.10824E+01    0.13913E-03   -0.54594E-02    0.10824E+01    0.53139E-02    0.60042E-07   -0.99158E-04    0.13913E-03    0.60042E-07    0.49163E-09   -0.18542E-08   -0.54594E-02   -0.99158E-04   -0.18542E-08    0.60929E-03
    16    0.83506E+03    0.11448E+01    0.12617E-03   -0.59653E-02    0.11448E+01    0.50432E-02   -0.29272E-07   -0.11146E-03    0.12617E-03   -0.29272E-07    0.44151E-09   -0.19605E-08   -0.59653E-02   -0.11146E-03   -0.19605E-08    0.68995E-03
    17    0.84461E+03    0.12152E+01    0.11487E-03   -0.64394E-02    0.12152E+01    0.51887E-02   -0.88844E-07   -0.11123E-03    0.11487E-03   -0.88844E-07    0.39860E-09   -0.20771E-08   -0.64394E-02   -0.11123E-03   -0.20771E-08    0.77552E-03
