#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11312E+04    0.54932E-01    0.00000E+00    0.34141E+01    0.48848E-07    0.34346E-02   -0.16378E-04
     3    0.10523E+04    0.88312E-01    0.00000E+00    0.42579E+01    0.59293E-07    0.34140E-02   -0.19877E-04
     4    0.97942E+03    0.97755E-01    0.00000E+00    0.43620E+01    0.68262E-07    0.33246E-02   -0.19822E-04
     5    0.92323E+03    0.85338E-01    0.00000E+00    0.40277E+01    0.76029E-07    0.32072E-02   -0.17261E-04
     6    0.88239E+03    0.62030E-01    0.00000E+00    0.34908E+01    0.82783E-07    0.30820E-02   -0.13145E-04
     7    0.85399E+03    0.38882E-01    0.00000E+00    0.28994E+01    0.88710E-07    0.29583E-02   -0.83833E-05
     8    0.83473E+03    0.22214E-01    0.00000E+00    0.23435E+01    0.93941E-07    0.28368E-02   -0.38003E-05
     9    0.82245E+03    0.13102E-01    0.00000E+00    0.18688E+01    0.98585E-07    0.27169E-02   -0.33475E-07
    10    0.81561E+03    0.94192E-02    0.00000E+00    0.14998E+01    0.10271E-06    0.26009E-02    0.25819E-05
    11    0.81264E+03    0.82925E-02    0.00000E+00    0.12445E+01    0.10640E-06    0.24935E-02    0.40070E-05
    12    0.81364E+03    0.77398E-02    0.00000E+00    0.11002E+01    0.10970E-06    0.23966E-02    0.43415E-05
    13    0.81681E+03    0.69109E-02    0.00000E+00    0.10427E+01    0.11263E-06    0.23087E-02    0.37566E-05
    14    0.82122E+03    0.60052E-02    0.00000E+00    0.10431E+01    0.11525E-06    0.22278E-02    0.24784E-05
    15    0.82713E+03    0.53139E-02    0.00000E+00    0.10823E+01    0.11760E-06    0.21511E-02    0.92899E-06
    16    0.83491E+03    0.50431E-02    0.00000E+00    0.11446E+01    0.11969E-06    0.20766E-02   -0.48139E-06
    17    0.84446E+03    0.51885E-02    0.00000E+00    0.12151E+01    0.12156E-06    0.20053E-02   -0.15533E-05
    18    0.85484E+03    0.55083E-02    0.00000E+00    0.12821E+01    0.12323E-06    0.19388E-02   -0.21845E-05
    19    0.86688E+03    0.58697E-02    0.00000E+00    0.13400E+01    0.12471E-06    0.18763E-02   -0.24486E-05
