#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.11269E+04    0.33678E+01    0.14090E-02    0.79348E-01    0.14867E-02    0.33678E+01    0.54941E-01   -0.66862E-05    0.29097E-04   -0.30398E-06    0.14090E-02   -0.66862E-05    0.81414E-08    0.64450E-06    0.98813E-08    0.79348E-01    0.29097E-04    0.64450E-06    0.44239E-03    0.15639E-05    0.14867E-02   -0.30398E-06    0.98813E-08    0.15639E-05    0.19824E-07
     3    0.10494E+04    0.42174E+01    0.98877E-03    0.10949E+00    0.16606E-02    0.42174E+01    0.88312E-01   -0.57379E-05    0.11650E-04    0.31069E-07    0.98877E-03   -0.57379E-05    0.49410E-08    0.77393E-06    0.10215E-07    0.10949E+00    0.11650E-04    0.77393E-06    0.86843E-03    0.35111E-05    0.16606E-02    0.31069E-07    0.10215E-07    0.35111E-05    0.40029E-07
     4    0.97750E+03    0.43356E+01    0.74484E-03    0.12965E+00    0.17693E-02    0.43356E+01    0.97755E-01   -0.44323E-05    0.74382E-05    0.14139E-06    0.74484E-03   -0.44323E-05    0.34131E-08    0.85350E-06    0.10352E-07    0.12965E+00    0.74382E-05    0.85350E-06    0.14224E-02    0.62175E-05    0.17693E-02    0.14139E-06    0.10352E-07    0.62175E-05    0.65992E-07
     5    0.92204E+03    0.40141E+01    0.58607E-03    0.14193E+00    0.18378E-02    0.40141E+01    0.85338E-01   -0.31515E-05    0.62862E-05    0.14090E-06    0.58607E-03   -0.31515E-05    0.25343E-08    0.89557E-06    0.10338E-07    0.14193E+00    0.62862E-05    0.89557E-06    0.20859E-02    0.95597E-05    0.18378E-02    0.14090E-06    0.10338E-07    0.95597E-05    0.96572E-07
     6    0.88168E+03    0.34851E+01    0.47566E-03    0.14830E+00    0.18748E-02    0.34851E+01    0.62030E-01   -0.20283E-05    0.61078E-05    0.13221E-06    0.47566E-03   -0.20283E-05    0.19710E-08    0.90960E-06    0.10212E-07    0.14830E+00    0.61078E-05    0.90960E-06    0.28333E-02    0.13373E-04    0.18748E-02    0.13221E-06    0.10212E-07    0.13373E-04    0.13064E-06
     7    0.85361E+03    0.28974E+01    0.39530E-03    0.15035E+00    0.18883E-02    0.28974E+01    0.38882E-01   -0.11203E-05    0.57529E-05    0.13726E-06    0.39530E-03   -0.11203E-05    0.15841E-08    0.90312E-06    0.10011E-07    0.15035E+00    0.57529E-05    0.90312E-06    0.36346E-02    0.17489E-04    0.18883E-02    0.13726E-06    0.10011E-07    0.17489E-04    0.16728E-06
     8    0.83457E+03    0.23429E+01    0.33429E-03    0.14927E+00    0.18846E-02    0.23429E+01    0.22214E-01   -0.44788E-06    0.50048E-05    0.13182E-06    0.33429E-03   -0.44788E-06    0.13047E-08    0.88225E-06    0.97603E-08    0.14927E+00    0.50048E-05    0.88225E-06    0.44597E-02    0.21756E-04    0.18846E-02    0.13182E-06    0.97603E-08    0.21756E-04    0.20572E-06
     9    0.82242E+03    0.18685E+01    0.28640E-03    0.14601E+00    0.18676E-02    0.18685E+01    0.13102E-01   -0.35639E-08    0.47546E-05    0.10920E-06    0.28640E-03   -0.35639E-08    0.10954E-08    0.85187E-06    0.94782E-08    0.14601E+00    0.47546E-05    0.85187E-06    0.52855E-02    0.26054E-04    0.18676E-02    0.10920E-06    0.94782E-08    0.26054E-04    0.24531E-06
    10    0.81563E+03    0.14997E+01    0.24802E-03    0.14123E+00    0.18400E-02    0.14997E+01    0.94192E-02    0.24616E-06    0.49140E-05    0.91455E-07    0.24802E-03    0.24616E-06    0.93372E-09    0.81545E-06    0.91764E-08    0.14123E+00    0.49140E-05    0.81545E-06    0.60921E-02    0.30288E-04    0.18400E-02    0.91455E-07    0.91764E-08    0.30288E-04    0.28553E-06
    11    0.81267E+03    0.12445E+01    0.21708E-03    0.13557E+00    0.18049E-02    0.12445E+01    0.82926E-02    0.34879E-06    0.48261E-05    0.87371E-07    0.21708E-03    0.34879E-06    0.80611E-09    0.77613E-06    0.88659E-08    0.13557E+00    0.48261E-05    0.77613E-06    0.68706E-02    0.34411E-04    0.18049E-02    0.87371E-07    0.88659E-08    0.34411E-04    0.32602E-06
    12    0.81367E+03    0.11002E+01    0.19189E-03    0.12942E+00    0.17642E-02    0.11002E+01    0.77399E-02    0.34819E-06    0.44769E-05    0.85245E-07    0.19189E-03    0.34819E-06    0.70307E-09    0.73580E-06    0.85509E-08    0.12942E+00    0.44769E-05    0.73580E-06    0.76131E-02    0.38384E-04    0.17642E-02    0.85245E-07    0.85509E-08    0.38384E-04    0.36641E-06
    13    0.81683E+03    0.10427E+01    0.17116E-03    0.12308E+00    0.17195E-02    0.10427E+01    0.69109E-02    0.27846E-06    0.41099E-05    0.81286E-07    0.17116E-03    0.27846E-06    0.61884E-09    0.69588E-06    0.82364E-08    0.12308E+00    0.41099E-05    0.69588E-06    0.83197E-02    0.42209E-04    0.17195E-02    0.81286E-07    0.82364E-08    0.42209E-04    0.40646E-06
    14    0.82124E+03    0.10431E+01    0.15374E-03    0.11681E+00    0.16721E-02    0.10431E+01    0.60052E-02    0.17162E-06    0.39015E-05    0.75532E-07    0.15374E-03    0.17162E-06    0.54881E-09    0.65762E-06    0.79270E-08    0.11681E+00    0.39015E-05    0.65762E-06    0.89942E-02    0.45899E-04    0.16721E-02    0.75532E-07    0.79270E-08    0.45899E-04    0.44604E-06
    15    0.82715E+03    0.10823E+01    0.13887E-03    0.11077E+00    0.16231E-02    0.10823E+01    0.53140E-02    0.59933E-07    0.36874E-05    0.70451E-07    0.13887E-03    0.59933E-07    0.49000E-09    0.62160E-06    0.76252E-08    0.11077E+00    0.36874E-05    0.62160E-06    0.96443E-02    0.49480E-04    0.16231E-02    0.70451E-07    0.76252E-08    0.49480E-04    0.48503E-06
    16    0.83493E+03    0.11447E+01    0.12592E-03    0.10506E+00    0.15735E-02    0.11447E+01    0.50431E-02   -0.29264E-07    0.32824E-05    0.67813E-07    0.12592E-03   -0.29264E-07    0.44003E-09    0.58820E-06    0.73324E-08    0.10506E+00    0.32824E-05    0.58820E-06    0.10279E-01    0.52983E-04    0.15735E-02    0.67813E-07    0.73324E-08    0.52983E-04    0.52334E-06
    17    0.84449E+03    0.12151E+01    0.11465E-03    0.99751E-01    0.15237E-02    0.12151E+01    0.51885E-02   -0.88754E-07    0.27588E-05    0.64163E-07    0.11465E-03   -0.88754E-07    0.39726E-09    0.55754E-06    0.70499E-08    0.99751E-01    0.27588E-05    0.55754E-06    0.10908E-01    0.56441E-04    0.15237E-02    0.64163E-07    0.70499E-08    0.56441E-04    0.56096E-06
    18    0.85487E+03    0.12821E+01    0.10485E-03    0.94865E-01    0.14744E-02    0.12821E+01    0.55083E-02   -0.11832E-06    0.22393E-05    0.56510E-07    0.10485E-03   -0.11832E-06    0.36032E-09    0.52966E-06    0.67786E-08    0.94865E-01    0.22393E-05    0.52966E-06    0.11542E-01    0.59886E-04    0.14744E-02    0.56510E-07    0.67786E-08    0.59886E-04    0.59789E-06
    19    0.86691E+03    0.13400E+01    0.96265E-04    0.90397E-01    0.14257E-02    0.13400E+01    0.58696E-02   -0.12564E-06    0.17918E-05    0.48934E-07    0.96265E-04   -0.12564E-06    0.32819E-09    0.50437E-06    0.65186E-08    0.90397E-01    0.17918E-05    0.50437E-06    0.12186E-01    0.63337E-04    0.14257E-02    0.48934E-07    0.65186E-08    0.63337E-04    0.63408E-06
    20    0.87891E+03    0.13842E+01    0.88656E-04    0.86327E-01    0.13779E-02    0.13842E+01    0.62504E-02   -0.11886E-06    0.14517E-05    0.45786E-07    0.88656E-04   -0.11886E-06    0.30003E-09    0.48145E-06    0.62697E-08    0.86327E-01    0.14517E-05    0.48145E-06    0.12847E-01    0.66808E-04    0.13779E-02    0.45786E-07    0.62697E-08    0.66808E-04    0.66954E-06
    21    0.89123E+03    0.14207E+01    0.81865E-04    0.82630E-01    0.13314E-02    0.14207E+01    0.66952E-02   -0.99995E-07    0.11811E-05    0.45433E-07    0.81865E-04   -0.99995E-07    0.27524E-09    0.46070E-06    0.60322E-08    0.82630E-01    0.11811E-05    0.46070E-06    0.13526E-01    0.70310E-04    0.13314E-02    0.45433E-07    0.60322E-08    0.70310E-04    0.70431E-06
    22    0.90413E+03    0.14557E+01    0.75771E-04    0.79276E-01    0.12865E-02    0.14557E+01    0.73361E-02   -0.71083E-07    0.93379E-06    0.45058E-07    0.75771E-04   -0.71083E-07    0.25329E-09    0.44187E-06    0.58063E-08    0.79276E-01    0.93379E-06    0.44187E-06    0.14225E-01    0.73848E-04    0.12865E-02    0.45058E-07    0.58063E-08    0.73848E-04    0.73846E-06
    23    0.91743E+03    0.14908E+01    0.70303E-04    0.76222E-01    0.12431E-02    0.14908E+01    0.82278E-02   -0.40371E-07    0.70420E-06    0.43107E-07    0.70303E-04   -0.40371E-07    0.23378E-09    0.42470E-06    0.55916E-08    0.76222E-01    0.70420E-06    0.42470E-06    0.14942E-01    0.77415E-04    0.12431E-02    0.43107E-07    0.55916E-08    0.77415E-04    0.77203E-06
    24    0.93119E+03    0.15268E+01    0.65396E-04    0.73426E-01    0.12013E-02    0.15268E+01    0.93663E-02   -0.16447E-07    0.49858E-06    0.38986E-07    0.65396E-04   -0.16447E-07    0.21633E-09    0.40891E-06    0.53877E-08    0.73426E-01    0.49858E-06    0.40891E-06    0.15672E-01    0.80997E-04    0.12013E-02    0.38986E-07    0.53877E-08    0.80997E-04    0.80502E-06
    25    0.94533E+03    0.15655E+01    0.60983E-04    0.70846E-01    0.11613E-02    0.15655E+01    0.10761E-01   -0.30441E-08    0.33000E-06    0.34680E-07    0.60983E-04   -0.30441E-08    0.20069E-09    0.39430E-06    0.51941E-08    0.70846E-01    0.33000E-06    0.39430E-06    0.16408E-01    0.84576E-04    0.11613E-02    0.34680E-07    0.51941E-08    0.84576E-04    0.83747E-06
    26    0.95967E+03    0.16095E+01    0.56995E-04    0.68449E-01    0.11229E-02    0.16095E+01    0.12379E-01   -0.11536E-08    0.21013E-06    0.32254E-07    0.56995E-04   -0.11536E-08    0.18660E-09    0.38067E-06    0.50107E-08    0.68449E-01    0.21013E-06    0.38067E-06    0.17145E-01    0.88135E-04    0.11229E-02    0.32254E-07    0.50107E-08    0.88135E-04    0.86946E-06
    27    0.97445E+03    0.16559E+01    0.53374E-04    0.66203E-01    0.10862E-02    0.16559E+01    0.14178E-01   -0.56383E-08    0.13812E-06    0.31490E-07    0.53374E-04   -0.56383E-08    0.17387E-09    0.36784E-06    0.48369E-08    0.66203E-01    0.13812E-06    0.36784E-06    0.17874E-01    0.91652E-04    0.10862E-02    0.31490E-07    0.48369E-08    0.91652E-04    0.90100E-06
