#    L    TT             EE             BB             TE          
     2    0.11355E+04    0.54911E-01    0.15270E-05    0.34563E+01
     3    0.10552E+04    0.88315E-01    0.30543E-05    0.42960E+01
     4    0.98129E+03    0.97760E-01    0.50912E-05    0.43864E+01
     5    0.92443E+03    0.85346E-01    0.76381E-05    0.40402E+01
     6    0.88314E+03    0.62040E-01    0.10696E-04    0.34959E+01
     7    0.85442E+03    0.38896E-01    0.14265E-04    0.29011E+01
     8    0.83497E+03    0.22232E-01    0.18345E-04    0.23441E+01
     9    0.82257E+03    0.13125E-01    0.22939E-04    0.18691E+01
    10    0.81568E+03    0.94472E-02    0.28046E-04    0.15000E+01
    11    0.81271E+03    0.83262E-02    0.33668E-04    0.12446E+01
    12    0.81373E+03    0.77796E-02    0.39806E-04    0.11002E+01
    13    0.81693E+03    0.69573E-02    0.46461E-04    0.10427E+01
    14    0.82135E+03    0.60589E-02    0.53633E-04    0.10431E+01
    15    0.82727E+03    0.53752E-02    0.61325E-04    0.10823E+01
    16    0.83505E+03    0.51126E-02    0.69538E-04    0.11446E+01
    17    0.84462E+03    0.52667E-02    0.78272E-04    0.12150E+01
    18    0.85501E+03    0.55958E-02    0.87530E-04    0.12819E+01
    19    0.86706E+03    0.59670E-02    0.97312E-04    0.13399E+01
    20    0.87908E+03    0.63579E-02    0.10762E-03    0.13841E+01
    21    0.89143E+03    0.68136E-02    0.11845E-03    0.14205E+01
    22    0.90436E+03    0.74659E-02    0.12982E-03    0.14555E+01
    23    0.91768E+03    0.83695E-02    0.14171E-03    0.14905E+01
    24    0.93145E+03    0.95202E-02    0.15413E-03    0.15265E+01
    25    0.94561E+03    0.10927E-01    0.16709E-03    0.15652E+01
    26    0.95997E+03    0.12559E-01    0.18058E-03    0.16092E+01
    27    0.97476E+03    0.14372E-01    0.19460E-03    0.16556E+01
    28    0.98984E+03    0.16353E-01    0.20916E-03    0.17014E+01
    29    0.10053E+04    0.18511E-01    0.22426E-03    0.17449E+01
    30    0.10209E+04    0.20863E-01    0.23990E-03    0.17829E+01
    31    0.10367E+04    0.23394E-01    0.25607E-03    0.18131E+01
    32    0.10529E+04    0.26078E-01    0.27278E-03    0.18331E+01
    33    0.10694E+04    0.28926E-01    0.29003E-03    0.18402E+01
    34    0.10862E+04    0.31968E-01    0.30783E-03    0.18338E+01
    35    0.11031E+04    0.35224E-01    0.32616E-03    0.18180E+01
    36    0.11201E+04    0.38717E-01    0.34504E-03    0.17958E+01
    37    0.11372E+04    0.42438E-01    0.36446E-03    0.17633E+01
    38    0.11547E+04    0.46384E-01    0.38442E-03    0.17181E+01
    39    0.11726E+04    0.50567E-01    0.40492E-03    0.16625E+01
    40    0.11906E+04    0.55007E-01    0.42597E-03    0.15994E+01
    41    0.12089E+04    0.59725E-01    0.44757E-03    0.15306E+01
    42    0.12271E+04    0.64722E-01    0.46970E-03    0.14541E+01
    43    0.12455E+04    0.69995E-01    0.49239E-03    0.13672E+01
    44    0.12639E+04    0.75524E-01    0.51561E-03    0.12680E+01
    45    0.12827E+04    0.81302E-01    0.53938E-03    0.11545E+01
    46    0.13017E+04    0.87324E-01    0.56370E-03    0.10237E+01
    47    0.13209E+04    0.93593E-01    0.58856E-03    0.87736E+00
    48    0.13402E+04    0.10012E+00    0.61396E-03    0.72114E+00
    49    0.13596E+04    0.10690E+00    0.63991E-03    0.56008E+00
    50    0.13794E+04    0.11390E+00    0.66640E-03    0.39249E+00
    51    0.13994E+04    0.12111E+00    0.69343E-03    0.21480E+00
    52    0.14198E+04    0.12861E+00    0.72101E-03    0.21816E-01
    53    0.14402E+04    0.13653E+00    0.74913E-03   -0.19026E+00
    54    0.14606E+04    0.14488E+00    0.77780E-03   -0.41726E+00
    55    0.14810E+04    0.15361E+00    0.80701E-03   -0.65486E+00
    56    0.15019E+04    0.16259E+00    0.83676E-03   -0.90487E+00
    57    0.15230E+04    0.17171E+00    0.86706E-03   -0.11671E+01
    58    0.15444E+04    0.18098E+00    0.89790E-03   -0.14422E+01
    59    0.15660E+04    0.19044E+00    0.92928E-03   -0.17306E+01
    60    0.15877E+04    0.20014E+00    0.96121E-03   -0.20317E+01
    61    0.16099E+04    0.21019E+00    0.99368E-03   -0.23443E+01
    62    0.16320E+04    0.22057E+00    0.10267E-02   -0.26696E+01
    63    0.16541E+04    0.23123E+00    0.10602E-02   -0.30085E+01
    64    0.16767E+04    0.24219E+00    0.10943E-02   -0.33623E+01
    65    0.16993E+04    0.25341E+00    0.11290E-02   -0.37319E+01
    66    0.17223E+04    0.26484E+00    0.11642E-02   -0.41153E+01
    67    0.17454E+04    0.27646E+00    0.11999E-02   -0.45098E+01
    68    0.17689E+04    0.28833E+00    0.12362E-02   -0.49135E+01
    69    0.17926E+04    0.30040E+00    0.12730E-02   -0.53246E+01
    70    0.18167E+04    0.31272E+00    0.13103E-02   -0.57446E+01
    71    0.18408E+04    0.32526E+00    0.13482E-02   -0.61758E+01
    72    0.18651E+04    0.33801E+00    0.13867E-02   -0.66196E+01
    73    0.18896E+04    0.35094E+00    0.14257E-02   -0.70768E+01
    74    0.19143E+04    0.36402E+00    0.14652E-02   -0.75466E+01
    75    0.19393E+04    0.37728E+00    0.15053E-02   -0.80275E+01
    76    0.19646E+04    0.39071E+00    0.15459E-02   -0.85190E+01
    77    0.19902E+04    0.40430E+00    0.15871E-02   -0.90209E+01
    78    0.20161E+04    0.41808E+00    0.16288E-02   -0.95346E+01
    79    0.20422E+04    0.43200E+00    0.16711E-02   -0.10056E+02
    80    0.20686E+04    0.44605E+00    0.17139E-02   -0.10588E+02
    81    0.20952E+04    0.46020E+00    0.17573E-02   -0.11129E+02
    82    0.21221E+04    0.47445E+00    0.18012E-02   -0.11678E+02
    83    0.21491E+04    0.48879E+00    0.18457E-02   -0.12237E+02
    84    0.21764E+04    0.50321E+00    0.18907E-02   -0.12801E+02
    85    0.22038E+04    0.51768E+00    0.19363E-02   -0.13373E+02
    86    0.22313E+04    0.53222E+00    0.19824E-02   -0.13952E+02
    87    0.22594E+04    0.54681E+00    0.20291E-02   -0.14536E+02
    88    0.22874E+04    0.56144E+00    0.20763E-02   -0.15126E+02
    89    0.23157E+04    0.57612E+00    0.21241E-02   -0.15723E+02
    90    0.23443E+04    0.59079E+00    0.21725E-02   -0.16325E+02
    91    0.23729E+04    0.60547E+00    0.22214E-02   -0.16932E+02
    92    0.24019E+04    0.62012E+00    0.22709E-02   -0.17544E+02
    93    0.24312E+04    0.63474E+00    0.23209E-02   -0.18160E+02
    94    0.24605E+04    0.64931E+00    0.23716E-02   -0.18780E+02
    95    0.24901E+04    0.66381E+00    0.24227E-02   -0.19403E+02
    96    0.25196E+04    0.67823E+00    0.24745E-02   -0.20030E+02
    97    0.25497E+04    0.69256E+00    0.25268E-02   -0.20659E+02
    98    0.25799E+04    0.70680E+00    0.25797E-02   -0.21289E+02
    99    0.26102E+04    0.72091E+00    0.26332E-02   -0.21922E+02
   100    0.26407E+04    0.73488E+00    0.26872E-02   -0.22554E+02
   101    0.26714E+04    0.74878E+00    0.27419E-02   -0.23188E+02
   102    0.27027E+04    0.76246E+00    0.27971E-02   -0.23822E+02
   103    0.27338E+04    0.77599E+00    0.28529E-02   -0.24456E+02
   104    0.27652E+04    0.78938E+00    0.29093E-02   -0.25088E+02
   105    0.27967E+04    0.80256E+00    0.29663E-02   -0.25718E+02
   106    0.28284E+04    0.81559E+00    0.30239E-02   -0.26348E+02
   107    0.28600E+04    0.82833E+00    0.30821E-02   -0.26974E+02
   108    0.28920E+04    0.84085E+00    0.31409E-02   -0.27598E+02
   109    0.29242E+04    0.85309E+00    0.32004E-02   -0.28218E+02
   110    0.29564E+04    0.86503E+00    0.32605E-02   -0.28833E+02
   111    0.29888E+04    0.87677E+00    0.33211E-02   -0.29445E+02
   112    0.30213E+04    0.88822E+00    0.33825E-02   -0.30052E+02
   113    0.30541E+04    0.89938E+00    0.34444E-02   -0.30653E+02
   114    0.30869E+04    0.91018E+00    0.35070E-02   -0.31247E+02
   115    0.31199E+04    0.92077E+00    0.35703E-02   -0.31835E+02
   116    0.31529E+04    0.93092E+00    0.36342E-02   -0.32415E+02
   117    0.31862E+04    0.94072E+00    0.36988E-02   -0.32987E+02
   118    0.32197E+04    0.95031E+00    0.37641E-02   -0.33552E+02
   119    0.32531E+04    0.95954E+00    0.38300E-02   -0.34107E+02
   120    0.32867E+04    0.96826E+00    0.38966E-02   -0.34652E+02
   121    0.33202E+04    0.97677E+00    0.39639E-02   -0.35187E+02
   122    0.33539E+04    0.98478E+00    0.40319E-02   -0.35712E+02
   123    0.33875E+04    0.99236E+00    0.41006E-02   -0.36226E+02
   124    0.34213E+04    0.99958E+00    0.41701E-02   -0.36726E+02
   125    0.34550E+04    0.10064E+01    0.42402E-02   -0.37216E+02
   126    0.34888E+04    0.10128E+01    0.43111E-02   -0.37693E+02
   127    0.35226E+04    0.10187E+01    0.43828E-02   -0.38157E+02
   128    0.35563E+04    0.10243E+01    0.44551E-02   -0.38608E+02
   129    0.35901E+04    0.10294E+01    0.45283E-02   -0.39045E+02
   130    0.36239E+04    0.10339E+01    0.46022E-02   -0.39466E+02
   131    0.36577E+04    0.10382E+01    0.46768E-02   -0.39873E+02
   132    0.36915E+04    0.10419E+01    0.47523E-02   -0.40265E+02
   133    0.37252E+04    0.10452E+01    0.48285E-02   -0.40641E+02
   134    0.37589E+04    0.10480E+01    0.49055E-02   -0.40999E+02
   135    0.37926E+04    0.10504E+01    0.49833E-02   -0.41342E+02
   136    0.38261E+04    0.10523E+01    0.50620E-02   -0.41665E+02
   137    0.38596E+04    0.10537E+01    0.51414E-02   -0.41970E+02
   138    0.38931E+04    0.10546E+01    0.52216E-02   -0.42258E+02
   139    0.39262E+04    0.10552E+01    0.53027E-02   -0.42526E+02
   140    0.39595E+04    0.10552E+01    0.53846E-02   -0.42775E+02
   141    0.39925E+04    0.10548E+01    0.54673E-02   -0.43004E+02
   142    0.40255E+04    0.10538E+01    0.55509E-02   -0.43213E+02
   143    0.40584E+04    0.10525E+01    0.56353E-02   -0.43402E+02
   144    0.40911E+04    0.10507E+01    0.57206E-02   -0.43570E+02
   145    0.41237E+04    0.10485E+01    0.58067E-02   -0.43717E+02
   146    0.41563E+04    0.10458E+01    0.58936E-02   -0.43843E+02
   147    0.41885E+04    0.10427E+01    0.59815E-02   -0.43946E+02
   148    0.42206E+04    0.10391E+01    0.60702E-02   -0.44028E+02
   149    0.42526E+04    0.10351E+01    0.61597E-02   -0.44088E+02
   150    0.42844E+04    0.10307E+01    0.62501E-02   -0.44123E+02
   151    0.43159E+04    0.10260E+01    0.63414E-02   -0.44136E+02
   152    0.43472E+04    0.10207E+01    0.64335E-02   -0.44125E+02
   153    0.43784E+04    0.10151E+01    0.65265E-02   -0.44090E+02
   154    0.44093E+04    0.10091E+01    0.66204E-02   -0.44031E+02
   155    0.44400E+04    0.10028E+01    0.67151E-02   -0.43948E+02
   156    0.44703E+04    0.99620E+00    0.68107E-02   -0.43841E+02
   157    0.45005E+04    0.98920E+00    0.69072E-02   -0.43708E+02
   158    0.45304E+04    0.98194E+00    0.70045E-02   -0.43551E+02
   159    0.45601E+04    0.97425E+00    0.71027E-02   -0.43369E+02
   160    0.45895E+04    0.96629E+00    0.72017E-02   -0.43160E+02
   161    0.46187E+04    0.95813E+00    0.73017E-02   -0.42927E+02
   162    0.46476E+04    0.94963E+00    0.74024E-02   -0.42670E+02
   163    0.46763E+04    0.94085E+00    0.75041E-02   -0.42386E+02
   164    0.47046E+04    0.93187E+00    0.76065E-02   -0.42077E+02
   165    0.47327E+04    0.92261E+00    0.77099E-02   -0.41741E+02
   166    0.47605E+04    0.91323E+00    0.78140E-02   -0.41380E+02
   167    0.47881E+04    0.90350E+00    0.79191E-02   -0.40993E+02
   168    0.48152E+04    0.89380E+00    0.80249E-02   -0.40580E+02
   169    0.48420E+04    0.88382E+00    0.81316E-02   -0.40140E+02
   170    0.48685E+04    0.87379E+00    0.82392E-02   -0.39675E+02
   171    0.48946E+04    0.86370E+00    0.83475E-02   -0.39181E+02
   172    0.49203E+04    0.85349E+00    0.84567E-02   -0.38661E+02
   173    0.49455E+04    0.84315E+00    0.85668E-02   -0.38116E+02
   174    0.49704E+04    0.83298E+00    0.86776E-02   -0.37543E+02
   175    0.49949E+04    0.82268E+00    0.87893E-02   -0.36944E+02
   176    0.50189E+04    0.81247E+00    0.89018E-02   -0.36318E+02
   177    0.50425E+04    0.80229E+00    0.90151E-02   -0.35666E+02
   178    0.50656E+04    0.79234E+00    0.91292E-02   -0.34987E+02
   179    0.50883E+04    0.78234E+00    0.92441E-02   -0.34282E+02
   180    0.51106E+04    0.77251E+00    0.93599E-02   -0.33550E+02
   181    0.51325E+04    0.76284E+00    0.94764E-02   -0.32793E+02
   182    0.51539E+04    0.75341E+00    0.95938E-02   -0.32010E+02
   183    0.51747E+04    0.74414E+00    0.97119E-02   -0.31200E+02
   184    0.51952E+04    0.73511E+00    0.98309E-02   -0.30365E+02
   185    0.52152E+04    0.72646E+00    0.99506E-02   -0.29506E+02
   186    0.52344E+04    0.71806E+00    0.10071E-01   -0.28619E+02
   187    0.52535E+04    0.71004E+00    0.10192E-01   -0.27707E+02
   188    0.52720E+04    0.70238E+00    0.10315E-01   -0.26772E+02
   189    0.52899E+04    0.69513E+00    0.10437E-01   -0.25810E+02
   190    0.53077E+04    0.68834E+00    0.10561E-01   -0.24826E+02
   191    0.53246E+04    0.68202E+00    0.10686E-01   -0.23815E+02
   192    0.53411E+04    0.67619E+00    0.10811E-01   -0.22781E+02
   193    0.53570E+04    0.67091E+00    0.10937E-01   -0.21724E+02
   194    0.53725E+04    0.66620E+00    0.11063E-01   -0.20642E+02
   195    0.53875E+04    0.66210E+00    0.11191E-01   -0.19538E+02
   196    0.54018E+04    0.65863E+00    0.11319E-01   -0.18411E+02
   197    0.54158E+04    0.65586E+00    0.11448E-01   -0.17262E+02
   198    0.54292E+04    0.65378E+00    0.11578E-01   -0.16091E+02
   199    0.54421E+04    0.65246E+00    0.11708E-01   -0.14898E+02
   200    0.54545E+04    0.65190E+00    0.11840E-01   -0.13685E+02
   201    0.54662E+04    0.65218E+00    0.11972E-01   -0.12449E+02
   202    0.54775E+04    0.65329E+00    0.12104E-01   -0.11193E+02
   203    0.54882E+04    0.65530E+00    0.12238E-01   -0.99170E+01
   204    0.54983E+04    0.65822E+00    0.12372E-01   -0.86225E+01
   205    0.55078E+04    0.66211E+00    0.12506E-01   -0.73079E+01
   206    0.55166E+04    0.66699E+00    0.12642E-01   -0.59743E+01
   207    0.55250E+04    0.67289E+00    0.12778E-01   -0.46223E+01
   208    0.55326E+04    0.67985E+00    0.12915E-01   -0.32523E+01
