#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.11355E+04    0.34563E+01    0.13957E-02    0.71584E-01    0.15531E-01    0.34563E+01    0.54909E-01   -0.66861E-05   -0.50726E-05   -0.70980E-05    0.13957E-02   -0.66861E-05    0.81391E-08    0.31946E-06    0.56173E-07    0.71584E-01   -0.50726E-05    0.31946E-06    0.47511E-04    0.15023E-05    0.15531E-01   -0.70980E-05    0.56173E-07    0.15023E-05    0.88598E-06
     3    0.10552E+04    0.42959E+01    0.98249E-03    0.96166E-01    0.22457E-01    0.42959E+01    0.88312E-01   -0.57379E-05    0.64912E-05   -0.85812E-05    0.98249E-03   -0.57379E-05    0.49408E-08    0.40553E-06    0.74958E-07    0.96166E-01    0.64912E-05    0.40553E-06    0.12230E-03    0.38149E-05    0.22457E-01   -0.85812E-05    0.74958E-07    0.38149E-05    0.23967E-05
     4    0.98127E+03    0.43864E+01    0.74209E-03    0.11501E+00    0.28599E-01    0.43864E+01    0.97755E-01   -0.44323E-05    0.12283E-04   -0.38014E-05    0.74209E-03   -0.44323E-05    0.34129E-08    0.47395E-06    0.91635E-07    0.11501E+00    0.12283E-04    0.47395E-06    0.24386E-03    0.72848E-05    0.28599E-01   -0.38014E-05    0.91635E-07    0.72848E-05    0.49978E-05
     5    0.92440E+03    0.40402E+01    0.58511E-03    0.12972E+00    0.34050E-01    0.40402E+01    0.85338E-01   -0.31514E-05    0.12156E-04    0.21584E-05    0.58511E-03   -0.31514E-05    0.25341E-08    0.52779E-06    0.10660E-06    0.12972E+00    0.12156E-04    0.52779E-06    0.41659E-03    0.11959E-04    0.34050E-01    0.21584E-05    0.10660E-06    0.11959E-04    0.89150E-05
     6    0.88310E+03    0.34959E+01    0.47551E-03    0.14104E+00    0.38948E-01    0.34959E+01    0.62030E-01   -0.20283E-05    0.11623E-04    0.68146E-05    0.47551E-03   -0.20283E-05    0.19709E-08    0.56923E-06    0.12007E-06    0.14104E+00    0.11623E-04    0.56923E-06    0.64151E-03    0.17846E-04    0.38948E-01    0.68146E-05    0.12007E-06    0.17846E-04    0.14332E-04
     7    0.85438E+03    0.29011E+01    0.39540E-03    0.14957E+00    0.43349E-01    0.29011E+01    0.38881E-01   -0.11203E-05    0.12684E-04    0.98903E-05    0.39540E-03   -0.11203E-05    0.15840E-08    0.60009E-06    0.13218E-06    0.14957E+00    0.12684E-04    0.60009E-06    0.91696E-03    0.24899E-04    0.43349E-01    0.98903E-05    0.13218E-06    0.24899E-04    0.21396E-04
     8    0.83492E+03    0.23441E+01    0.33438E-03    0.15584E+00    0.47320E-01    0.23441E+01    0.22214E-01   -0.44786E-06    0.12585E-04    0.11769E-04    0.33438E-03   -0.44786E-06    0.13046E-08    0.62206E-06    0.14311E-06    0.15584E+00    0.12585E-04    0.62206E-06    0.12394E-02    0.33057E-04    0.47320E-01    0.11769E-04    0.14311E-06    0.33057E-04    0.30223E-04
     9    0.82252E+03    0.18691E+01    0.28641E-03    0.16019E+00    0.50934E-01    0.18691E+01    0.13102E-01   -0.34792E-08    0.10555E-04    0.12404E-04    0.28641E-03   -0.34792E-08    0.10953E-08    0.63654E-06    0.15301E-06    0.16019E+00    0.10555E-04    0.63654E-06    0.16043E-02    0.42227E-04    0.50934E-01    0.12404E-04    0.15301E-06    0.42227E-04    0.40914E-04
    10    0.81562E+03    0.15000E+01    0.24798E-03    0.16282E+00    0.54207E-01    0.15000E+01    0.94192E-02    0.24620E-06    0.87522E-05    0.11463E-04    0.24798E-03    0.24620E-06    0.93363E-09    0.64449E-06    0.16193E-06    0.16282E+00    0.87522E-05    0.64449E-06    0.20057E-02    0.52263E-04    0.54207E-01    0.11463E-04    0.16193E-06    0.52263E-04    0.53520E-04
    11    0.81264E+03    0.12445E+01    0.21702E-03    0.16405E+00    0.57155E-01    0.12445E+01    0.82925E-02    0.34871E-06    0.84682E-05    0.11250E-04    0.21702E-03    0.34871E-06    0.80602E-09    0.64714E-06    0.17000E-06    0.16405E+00    0.84682E-05    0.64714E-06    0.24380E-02    0.63059E-04    0.57155E-01    0.11250E-04    0.17000E-06    0.63059E-04    0.68114E-04
    12    0.81364E+03    0.11002E+01    0.19185E-03    0.16408E+00    0.59801E-01    0.11002E+01    0.77398E-02    0.34810E-06    0.83184E-05    0.15052E-04    0.19185E-03    0.34810E-06    0.70300E-09    0.64511E-06    0.17726E-06    0.16408E+00    0.83184E-05    0.64511E-06    0.28943E-02    0.74438E-04    0.59801E-01    0.15052E-04    0.17726E-06    0.74438E-04    0.84708E-04
    13    0.81683E+03    0.10427E+01    0.17113E-03    0.16307E+00    0.62206E-01    0.10427E+01    0.69109E-02    0.27846E-06    0.79673E-05    0.17570E-04    0.17113E-03    0.27846E-06    0.61877E-09    0.63916E-06    0.18376E-06    0.16307E+00    0.79673E-05    0.63916E-06    0.33675E-02    0.86256E-04    0.62206E-01    0.17570E-04    0.18376E-06    0.86256E-04    0.10331E-03
    14    0.82124E+03    0.10431E+01    0.15373E-03    0.16122E+00    0.64425E-01    0.10431E+01    0.60052E-02    0.17170E-06    0.75505E-05    0.13794E-04    0.15373E-03    0.17170E-06    0.54874E-09    0.63008E-06    0.18959E-06    0.16122E+00    0.75505E-05    0.63008E-06    0.38514E-02    0.98385E-04    0.64425E-01    0.13794E-04    0.18959E-06    0.98385E-04    0.12393E-03
    15    0.82715E+03    0.10823E+01    0.13886E-03    0.15866E+00    0.66414E-01    0.10823E+01    0.53139E-02    0.60019E-07    0.73051E-05    0.91384E-05    0.13886E-03    0.60019E-07    0.48993E-09    0.61844E-06    0.19479E-06    0.15866E+00    0.73051E-05    0.61844E-06    0.43398E-02    0.11069E-03    0.66414E-01    0.91384E-05    0.19479E-06    0.11069E-03    0.14654E-03
    16    0.83492E+03    0.11446E+01    0.12592E-03    0.15555E+00    0.68135E-01    0.11446E+01    0.50431E-02   -0.29297E-07    0.73403E-05    0.97674E-05    0.12592E-03   -0.29297E-07    0.43997E-09    0.60480E-06    0.19941E-06    0.15555E+00    0.73403E-05    0.60480E-06    0.48275E-02    0.12306E-03    0.68135E-01    0.97674E-05    0.19941E-06    0.12306E-03    0.17112E-03
    17    0.84446E+03    0.12150E+01    0.11464E-03    0.15202E+00    0.69639E-01    0.12150E+01    0.51885E-02   -0.88877E-07    0.71517E-05    0.14424E-04    0.11464E-03   -0.88877E-07    0.39720E-09    0.58966E-06    0.20350E-06    0.15202E+00    0.71517E-05    0.58966E-06    0.53107E-02    0.13540E-03    0.69639E-01    0.14424E-04    0.20350E-06    0.13540E-03    0.19764E-03
    18    0.85484E+03    0.12820E+01    0.10484E-03    0.14816E+00    0.70992E-01    0.12820E+01    0.55083E-02   -0.11837E-06    0.63379E-05    0.19783E-04    0.10484E-03   -0.11837E-06    0.36026E-09    0.57347E-06    0.20709E-06    0.14816E+00    0.63379E-05    0.57347E-06    0.57863E-02    0.14761E-03    0.70992E-01    0.19783E-04    0.20709E-06    0.14761E-03    0.22606E-03
    19    0.86687E+03    0.13400E+01    0.96257E-04    0.14407E+00    0.72204E-01    0.13400E+01    0.58697E-02   -0.12557E-06    0.55246E-05    0.21682E-04    0.96257E-04   -0.12557E-06    0.32814E-09    0.55657E-06    0.21022E-06    0.14407E+00    0.55246E-05    0.55657E-06    0.62515E-02    0.15962E-03    0.72204E-01    0.21682E-04    0.21022E-06    0.15962E-03    0.25630E-03
    20    0.87888E+03    0.13842E+01    0.88651E-04    0.13982E+00    0.73271E-01    0.13842E+01    0.62504E-02   -0.11875E-06    0.53523E-05    0.17536E-04    0.88651E-04   -0.11875E-06    0.29998E-09    0.53925E-06    0.21289E-06    0.13982E+00    0.53523E-05    0.53925E-06    0.67043E-02    0.17137E-03    0.73271E-01    0.17536E-04    0.21289E-06    0.17137E-03    0.28828E-03
    21    0.89121E+03    0.14206E+01    0.81864E-04    0.13549E+00    0.74189E-01    0.14206E+01    0.66952E-02   -0.99935E-07    0.54936E-05    0.11923E-04    0.81864E-04   -0.99935E-07    0.27519E-09    0.52180E-06    0.21516E-06    0.13549E+00    0.54936E-05    0.52180E-06    0.71438E-02    0.18283E-03    0.74189E-01    0.11923E-04    0.21516E-06    0.18283E-03    0.32196E-03
    22    0.90412E+03    0.14556E+01    0.75772E-04    0.13117E+00    0.74956E-01    0.14556E+01    0.73362E-02   -0.71120E-07    0.54693E-05    0.98301E-05    0.75772E-04   -0.71120E-07    0.25324E-09    0.50448E-06    0.21706E-06    0.13117E+00    0.54693E-05    0.50448E-06    0.75699E-02    0.19401E-03    0.74956E-01    0.98301E-05    0.21706E-06    0.19401E-03    0.35727E-03
    23    0.91742E+03    0.14907E+01    0.70303E-04    0.12688E+00    0.75586E-01    0.14907E+01    0.82279E-02   -0.40462E-07    0.51625E-05    0.10727E-04    0.70303E-04   -0.40462E-07    0.23373E-09    0.48745E-06    0.21862E-06    0.12688E+00    0.51625E-05    0.48745E-06    0.79824E-02    0.20487E-03    0.75586E-01    0.10727E-04    0.21862E-06    0.20487E-03    0.39413E-03
    24    0.93117E+03    0.15267E+01    0.65395E-04    0.12268E+00    0.76096E-01    0.15267E+01    0.93662E-02   -0.16479E-07    0.46033E-05    0.12823E-04    0.65395E-04   -0.16479E-07    0.21629E-09    0.47084E-06    0.21985E-06    0.12268E+00    0.46033E-05    0.47084E-06    0.83819E-02    0.21542E-03    0.76096E-01    0.12823E-04    0.21985E-06    0.21542E-03    0.43246E-03
    25    0.94531E+03    0.15655E+01    0.60981E-04    0.11858E+00    0.76502E-01    0.15655E+01    0.10760E-01   -0.29888E-08    0.40483E-05    0.14806E-04    0.60981E-04   -0.29888E-08    0.20065E-09    0.45476E-06    0.22078E-06    0.11858E+00    0.40483E-05    0.45476E-06    0.87698E-02    0.22568E-03    0.76502E-01    0.14806E-04    0.22078E-06    0.22568E-03    0.47218E-03
    26    0.95965E+03    0.16095E+01    0.56994E-04    0.11462E+00    0.76816E-01    0.16095E+01    0.12379E-01   -0.10773E-08    0.37465E-05    0.15786E-04    0.56994E-04   -0.10773E-08    0.18656E-09    0.43931E-06    0.22143E-06    0.11462E+00    0.37465E-05    0.43931E-06    0.91478E-02    0.23568E-03    0.76816E-01    0.15786E-04    0.22143E-06    0.23568E-03    0.51320E-03
    27    0.97443E+03    0.16559E+01    0.53373E-04    0.11082E+00    0.77036E-01    0.16559E+01    0.14178E-01   -0.56060E-08    0.36905E-05    0.16086E-04    0.53373E-04   -0.56060E-08    0.17383E-09    0.42455E-06    0.22183E-06    0.11082E+00    0.36905E-05    0.42455E-06    0.95180E-02    0.24545E-03    0.77036E-01    0.16086E-04    0.22183E-06    0.24545E-03    0.55544E-03
