#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11355E+04    0.54909E-01    0.00000E+00    0.34563E+01    0.48835E-07    0.34187E-02   -0.16378E-04
     3    0.10552E+04    0.88312E-01    0.00000E+00    0.42959E+01    0.59290E-07    0.34035E-02   -0.19877E-04
     4    0.98127E+03    0.97755E-01    0.00000E+00    0.43864E+01    0.68258E-07    0.33187E-02   -0.19822E-04
     5    0.92440E+03    0.85338E-01    0.00000E+00    0.40402E+01    0.76023E-07    0.32048E-02   -0.17261E-04
     6    0.88310E+03    0.62030E-01    0.00000E+00    0.34959E+01    0.82777E-07    0.30816E-02   -0.13145E-04
     7    0.85438E+03    0.38881E-01    0.00000E+00    0.29011E+01    0.88703E-07    0.29589E-02   -0.83836E-05
     8    0.83492E+03    0.22214E-01    0.00000E+00    0.23441E+01    0.93933E-07    0.28373E-02   -0.38002E-05
     9    0.82252E+03    0.13102E-01    0.00000E+00    0.18691E+01    0.98576E-07    0.27172E-02   -0.33007E-07
    10    0.81562E+03    0.94192E-02    0.00000E+00    0.15000E+01    0.10270E-06    0.26008E-02    0.25822E-05
    11    0.81264E+03    0.82925E-02    0.00000E+00    0.12445E+01    0.10639E-06    0.24934E-02    0.40064E-05
    12    0.81364E+03    0.77398E-02    0.00000E+00    0.11002E+01    0.10969E-06    0.23965E-02    0.43409E-05
    13    0.81683E+03    0.69109E-02    0.00000E+00    0.10427E+01    0.11262E-06    0.23087E-02    0.37567E-05
    14    0.82124E+03    0.60052E-02    0.00000E+00    0.10431E+01    0.11524E-06    0.22279E-02    0.24793E-05
    15    0.82715E+03    0.53139E-02    0.00000E+00    0.10823E+01    0.11758E-06    0.21513E-02    0.92981E-06
    16    0.83492E+03    0.50431E-02    0.00000E+00    0.11446E+01    0.11968E-06    0.20767E-02   -0.48183E-06
    17    0.84446E+03    0.51885E-02    0.00000E+00    0.12150E+01    0.12154E-06    0.20054E-02   -0.15547E-05
    18    0.85484E+03    0.55083E-02    0.00000E+00    0.12820E+01    0.12321E-06    0.19389E-02   -0.21851E-05
    19    0.86687E+03    0.58697E-02    0.00000E+00    0.13400E+01    0.12469E-06    0.18764E-02   -0.24478E-05
    20    0.87888E+03    0.62504E-02    0.00000E+00    0.13842E+01    0.12599E-06    0.18168E-02   -0.24363E-05
    21    0.89121E+03    0.66952E-02    0.00000E+00    0.14206E+01    0.12714E-06    0.17596E-02   -0.21480E-05
    22    0.90412E+03    0.73362E-02    0.00000E+00    0.14556E+01    0.12814E-06    0.17045E-02   -0.15960E-05
    23    0.91742E+03    0.82279E-02    0.00000E+00    0.14907E+01    0.12902E-06    0.16518E-02   -0.95063E-06
    24    0.93117E+03    0.93662E-02    0.00000E+00    0.15267E+01    0.12978E-06    0.16019E-02   -0.40309E-06
    25    0.94531E+03    0.10760E-01    0.00000E+00    0.15655E+01    0.13042E-06    0.15547E-02   -0.76201E-07
    26    0.95965E+03    0.12379E-01    0.00000E+00    0.16095E+01    0.13096E-06    0.15101E-02   -0.31369E-07
    27    0.97443E+03    0.14178E-01    0.00000E+00    0.16559E+01    0.13142E-06    0.14675E-02   -0.15414E-06
    28    0.98949E+03    0.16144E-01    0.00000E+00    0.17018E+01    0.13179E-06    0.14267E-02   -0.31245E-06
    29    0.10049E+04    0.18287E-01    0.00000E+00    0.17454E+01    0.13207E-06    0.13878E-02   -0.47542E-06
    30    0.10205E+04    0.20624E-01    0.00000E+00    0.17834E+01    0.13228E-06    0.13511E-02   -0.64274E-06
    31    0.10363E+04    0.23139E-01    0.00000E+00    0.18136E+01    0.13241E-06    0.13162E-02   -0.83557E-06
    32    0.10524E+04    0.25806E-01    0.00000E+00    0.18337E+01    0.13247E-06    0.12825E-02   -0.10590E-05
    33    0.10690E+04    0.28637E-01    0.00000E+00    0.18409E+01    0.13249E-06    0.12498E-02   -0.12332E-05
    34    0.10857E+04    0.31661E-01    0.00000E+00    0.18345E+01    0.13244E-06    0.12179E-02   -0.12729E-05
    35    0.11025E+04    0.34900E-01    0.00000E+00    0.18188E+01    0.13235E-06    0.11867E-02   -0.11539E-05
    36    0.11195E+04    0.38374E-01    0.00000E+00    0.17967E+01    0.13221E-06    0.11566E-02   -0.89356E-06
    37    0.11366E+04    0.42076E-01    0.00000E+00    0.17642E+01    0.13203E-06    0.11279E-02   -0.61300E-06
    38    0.11541E+04    0.46002E-01    0.00000E+00    0.17192E+01    0.13180E-06    0.11011E-02   -0.42629E-06
    39    0.11720E+04    0.50165E-01    0.00000E+00    0.16637E+01    0.13154E-06    0.10758E-02   -0.31738E-06
    40    0.11900E+04    0.54584E-01    0.00000E+00    0.16006E+01    0.13124E-06    0.10514E-02   -0.23788E-06
    41    0.12082E+04    0.59281E-01    0.00000E+00    0.15319E+01    0.13091E-06    0.10276E-02   -0.15025E-06
    42    0.12264E+04    0.64257E-01    0.00000E+00    0.14555E+01    0.13055E-06    0.10043E-02   -0.59473E-07
    43    0.12448E+04    0.69508E-01    0.00000E+00    0.13687E+01    0.13016E-06    0.98157E-03    0.18871E-07
    44    0.12632E+04    0.75014E-01    0.00000E+00    0.12696E+01    0.12974E-06    0.95955E-03    0.69260E-07
    45    0.12819E+04    0.80769E-01    0.00000E+00    0.11562E+01    0.12929E-06    0.93831E-03    0.76211E-07
    46    0.13009E+04    0.86768E-01    0.00000E+00    0.10255E+01    0.12882E-06    0.91790E-03    0.29991E-07
    47    0.13201E+04    0.93014E-01    0.00000E+00    0.87927E+00    0.12833E-06    0.89821E-03   -0.56278E-07
    48    0.13393E+04    0.99517E-01    0.00000E+00    0.72314E+00    0.12783E-06    0.87909E-03   -0.16382E-06
    49    0.13587E+04    0.10627E+00    0.00000E+00    0.56219E+00    0.12730E-06    0.86042E-03   -0.27389E-06
    50    0.13785E+04    0.11325E+00    0.00000E+00    0.39469E+00    0.12676E-06    0.84204E-03   -0.36782E-06
    51    0.13985E+04    0.12043E+00    0.00000E+00    0.21711E+00    0.12620E-06    0.82387E-03   -0.43093E-06
    52    0.14189E+04    0.12790E+00    0.00000E+00    0.24212E-01    0.12563E-06    0.80602E-03   -0.46434E-06
    53    0.14392E+04    0.13580E+00    0.00000E+00   -0.18778E+00    0.12505E-06    0.78864E-03   -0.47317E-06
    54    0.14595E+04    0.14412E+00    0.00000E+00   -0.41468E+00    0.12445E-06    0.77190E-03   -0.46246E-06
    55    0.14800E+04    0.15283E+00    0.00000E+00   -0.65221E+00    0.12385E-06    0.75596E-03   -0.43730E-06
    56    0.15008E+04    0.16178E+00    0.00000E+00   -0.90214E+00    0.12323E-06    0.74092E-03   -0.40224E-06
    57    0.15219E+04    0.17087E+00    0.00000E+00   -0.11643E+01    0.12261E-06    0.72668E-03   -0.35996E-06
    58    0.15432E+04    0.18011E+00    0.00000E+00   -0.14393E+01    0.12197E-06    0.71308E-03   -0.31266E-06
    59    0.15648E+04    0.18954E+00    0.00000E+00   -0.17277E+01    0.12133E-06    0.69997E-03   -0.26251E-06
    60    0.15865E+04    0.19922E+00    0.00000E+00   -0.20287E+01    0.12068E-06    0.68719E-03   -0.21170E-06
    61    0.16087E+04    0.20924E+00    0.00000E+00   -0.23413E+01    0.12002E-06    0.67461E-03   -0.16232E-06
    62    0.16307E+04    0.21959E+00    0.00000E+00   -0.26665E+01    0.11936E-06    0.66217E-03   -0.11610E-06
    63    0.16528E+04    0.23022E+00    0.00000E+00   -0.30054E+01    0.11869E-06    0.64986E-03   -0.74666E-07
    64    0.16754E+04    0.24115E+00    0.00000E+00   -0.33593E+01    0.11802E-06    0.63765E-03   -0.39655E-07
    65    0.16980E+04    0.25235E+00    0.00000E+00   -0.37289E+01    0.11734E-06    0.62551E-03   -0.12697E-07
    66    0.17209E+04    0.26374E+00    0.00000E+00   -0.41123E+01    0.11666E-06    0.61345E-03    0.45872E-08
    67    0.17440E+04    0.27534E+00    0.00000E+00   -0.45068E+01    0.11598E-06    0.60154E-03    0.10609E-07
    68    0.17675E+04    0.28718E+00    0.00000E+00   -0.49106E+01    0.11530E-06    0.58989E-03    0.37913E-08
    69    0.17912E+04    0.29922E+00    0.00000E+00   -0.53217E+01    0.11461E-06    0.57860E-03   -0.17443E-07
    70    0.18151E+04    0.31150E+00    0.00000E+00   -0.57418E+01    0.11393E-06    0.56776E-03   -0.54670E-07
    71    0.18393E+04    0.32401E+00    0.00000E+00   -0.61731E+01    0.11324E-06    0.55745E-03   -0.10729E-06
    72    0.18636E+04    0.33674E+00    0.00000E+00   -0.66171E+01    0.11256E-06    0.54764E-03   -0.16602E-06
    73    0.18880E+04    0.34963E+00    0.00000E+00   -0.70745E+01    0.11187E-06    0.53827E-03   -0.21943E-06
    74    0.19127E+04    0.36269E+00    0.00000E+00   -0.75444E+01    0.11119E-06    0.52926E-03   -0.25607E-06
