#    L    TT             EE             BB             TE          
     2    0.11355E+04    0.54911E-01    0.14886E-05    0.34563E+01
     3    0.10552E+04    0.88315E-01    0.29774E-05    0.42959E+01
     4    0.98128E+03    0.97760E-01    0.49625E-05    0.43864E+01
     5    0.92442E+03    0.85345E-01    0.74443E-05    0.40402E+01
     6    0.88312E+03    0.62040E-01    0.10423E-04    0.34959E+01
     7    0.85441E+03    0.38895E-01    0.13899E-04    0.29011E+01
     8    0.83495E+03    0.22232E-01    0.17872E-04    0.23441E+01
     9    0.82256E+03    0.13124E-01    0.22343E-04    0.18691E+01
    10    0.81567E+03    0.94465E-02    0.27311E-04    0.15000E+01
    11    0.81270E+03    0.83253E-02    0.32779E-04    0.12445E+01
    12    0.81372E+03    0.77786E-02    0.38746E-04    0.11002E+01
    13    0.81691E+03    0.69561E-02    0.45212E-04    0.10426E+01
    14    0.82134E+03    0.60574E-02    0.52178E-04    0.10430E+01
    15    0.82726E+03    0.53736E-02    0.59646E-04    0.10823E+01
    16    0.83504E+03    0.51107E-02    0.67615E-04    0.11446E+01
    17    0.84460E+03    0.52645E-02    0.76086E-04    0.12150E+01
    18    0.85500E+03    0.55934E-02    0.85061E-04    0.12819E+01
    19    0.86705E+03    0.59642E-02    0.94540E-04    0.13399E+01
    20    0.87907E+03    0.63549E-02    0.10452E-03    0.13841E+01
    21    0.89142E+03    0.68102E-02    0.11502E-03    0.14205E+01
    22    0.90435E+03    0.74621E-02    0.12601E-03    0.14554E+01
    23    0.91767E+03    0.83654E-02    0.13752E-03    0.14905E+01
    24    0.93144E+03    0.95157E-02    0.14953E-03    0.15265E+01
    25    0.94560E+03    0.10922E-01    0.16206E-03    0.15652E+01
    26    0.95996E+03    0.12554E-01    0.17510E-03    0.16092E+01
    27    0.97476E+03    0.14366E-01    0.18865E-03    0.16555E+01
    28    0.98984E+03    0.16347E-01    0.20272E-03    0.17014E+01
    29    0.10053E+04    0.18504E-01    0.21730E-03    0.17449E+01
    30    0.10209E+04    0.20856E-01    0.23240E-03    0.17829E+01
    31    0.10367E+04    0.23386E-01    0.24803E-03    0.18130E+01
    32    0.10529E+04    0.26070E-01    0.26417E-03    0.18330E+01
    33    0.10694E+04    0.28917E-01    0.28083E-03    0.18402E+01
    34    0.10862E+04    0.31958E-01    0.29802E-03    0.18338E+01
    35    0.11031E+04    0.35215E-01    0.31573E-03    0.18180E+01
    36    0.11201E+04    0.38707E-01    0.33397E-03    0.17958E+01
    37    0.11372E+04    0.42427E-01    0.35273E-03    0.17632E+01
    38    0.11547E+04    0.46373E-01    0.37203E-03    0.17181E+01
    39    0.11726E+04    0.50555E-01    0.39186E-03    0.16625E+01
    40    0.11906E+04    0.54994E-01    0.41222E-03    0.15994E+01
    41    0.12089E+04    0.59711E-01    0.43311E-03    0.15305E+01
    42    0.12271E+04    0.64708E-01    0.45454E-03    0.14541E+01
    43    0.12455E+04    0.69980E-01    0.47650E-03    0.13672E+01
    44    0.12639E+04    0.75509E-01    0.49900E-03    0.12679E+01
    45    0.12827E+04    0.81286E-01    0.52204E-03    0.11545E+01
    46    0.13017E+04    0.87307E-01    0.54561E-03    0.10237E+01
    47    0.13209E+04    0.93576E-01    0.56973E-03    0.87731E+00
    48    0.13402E+04    0.10010E+00    0.59438E-03    0.72108E+00
    49    0.13596E+04    0.10688E+00    0.61958E-03    0.56002E+00
    50    0.13794E+04    0.11388E+00    0.64531E-03    0.39242E+00
    51    0.13994E+04    0.12109E+00    0.67159E-03    0.21474E+00
    52    0.14198E+04    0.12859E+00    0.69841E-03    0.21745E-01
    53    0.14402E+04    0.13651E+00    0.72576E-03   -0.19034E+00
    54    0.14606E+04    0.14486E+00    0.75366E-03   -0.41733E+00
    55    0.14810E+04    0.15359E+00    0.78210E-03   -0.65495E+00
    56    0.15019E+04    0.16257E+00    0.81107E-03   -0.90496E+00
    57    0.15230E+04    0.17169E+00    0.84059E-03   -0.11672E+01
    58    0.15444E+04    0.18095E+00    0.87064E-03   -0.14423E+01
    59    0.15660E+04    0.19041E+00    0.90123E-03   -0.17307E+01
    60    0.15877E+04    0.20011E+00    0.93236E-03   -0.20318E+01
    61    0.16099E+04    0.21016E+00    0.96402E-03   -0.23444E+01
    62    0.16320E+04    0.22054E+00    0.99621E-03   -0.26697E+01
    63    0.16541E+04    0.23120E+00    0.10289E-02   -0.30086E+01
    64    0.16767E+04    0.24216E+00    0.10622E-02   -0.33625E+01
    65    0.16993E+04    0.25338E+00    0.10960E-02   -0.37320E+01
    66    0.17223E+04    0.26481E+00    0.11303E-02   -0.41155E+01
    67    0.17454E+04    0.27643E+00    0.11651E-02   -0.45099E+01
    68    0.17689E+04    0.28830E+00    0.12005E-02   -0.49136E+01
    69    0.17926E+04    0.30037E+00    0.12364E-02   -0.53247E+01
    70    0.18167E+04    0.31268E+00    0.12728E-02   -0.57447E+01
    71    0.18408E+04    0.32522E+00    0.13097E-02   -0.61759E+01
    72    0.18651E+04    0.33798E+00    0.13472E-02   -0.66198E+01
    73    0.18896E+04    0.35090E+00    0.13852E-02   -0.70770E+01
    74    0.19143E+04    0.36398E+00    0.14236E-02   -0.75467E+01
    75    0.19393E+04    0.37724E+00    0.14626E-02   -0.80277E+01
    76    0.19646E+04    0.39066E+00    0.15022E-02   -0.85192E+01
    77    0.19902E+04    0.40426E+00    0.15422E-02   -0.90211E+01
    78    0.20161E+04    0.41804E+00    0.15827E-02   -0.95348E+01
    79    0.20422E+04    0.43195E+00    0.16238E-02   -0.10057E+02
    80    0.20686E+04    0.44601E+00    0.16653E-02   -0.10588E+02
    81    0.20952E+04    0.46015E+00    0.17074E-02   -0.11129E+02
    82    0.21221E+04    0.47440E+00    0.17500E-02   -0.11679E+02
    83    0.21491E+04    0.48873E+00    0.17931E-02   -0.12237E+02
    84    0.21764E+04    0.50315E+00    0.18367E-02   -0.12801E+02
    85    0.22038E+04    0.51762E+00    0.18808E-02   -0.13374E+02
    86    0.22314E+04    0.53217E+00    0.19255E-02   -0.13952E+02
    87    0.22594E+04    0.54675E+00    0.19706E-02   -0.14536E+02
    88    0.22874E+04    0.56138E+00    0.20163E-02   -0.15126E+02
    89    0.23157E+04    0.57605E+00    0.20625E-02   -0.15723E+02
    90    0.23443E+04    0.59073E+00    0.21092E-02   -0.16325E+02
    91    0.23730E+04    0.60540E+00    0.21564E-02   -0.16932E+02
    92    0.24019E+04    0.62005E+00    0.22042E-02   -0.17544E+02
    93    0.24312E+04    0.63467E+00    0.22525E-02   -0.18160E+02
    94    0.24605E+04    0.64923E+00    0.23013E-02   -0.18780E+02
    95    0.24901E+04    0.66373E+00    0.23507E-02   -0.19403E+02
    96    0.25196E+04    0.67815E+00    0.24006E-02   -0.20030E+02
    97    0.25497E+04    0.69249E+00    0.24510E-02   -0.20659E+02
    98    0.25799E+04    0.70672E+00    0.25020E-02   -0.21289E+02
    99    0.26102E+04    0.72082E+00    0.25536E-02   -0.21922E+02
   100    0.26407E+04    0.73479E+00    0.26057E-02   -0.22554E+02
   101    0.26715E+04    0.74869E+00    0.26584E-02   -0.23188E+02
   102    0.27027E+04    0.76237E+00    0.27117E-02   -0.23822E+02
   103    0.27338E+04    0.77590E+00    0.27656E-02   -0.24456E+02
   104    0.27652E+04    0.78929E+00    0.28200E-02   -0.25088E+02
   105    0.27967E+04    0.80246E+00    0.28750E-02   -0.25719E+02
   106    0.28284E+04    0.81549E+00    0.29307E-02   -0.26348E+02
   107    0.28601E+04    0.82823E+00    0.29869E-02   -0.26974E+02
   108    0.28921E+04    0.84076E+00    0.30437E-02   -0.27598E+02
   109    0.29242E+04    0.85299E+00    0.31012E-02   -0.28218E+02
   110    0.29564E+04    0.86494E+00    0.31593E-02   -0.28834E+02
   111    0.29888E+04    0.87667E+00    0.32180E-02   -0.29445E+02
   112    0.30213E+04    0.88812E+00    0.32774E-02   -0.30052E+02
   113    0.30541E+04    0.89928E+00    0.33374E-02   -0.30653E+02
   114    0.30869E+04    0.91008E+00    0.33981E-02   -0.31247E+02
   115    0.31199E+04    0.92067E+00    0.34594E-02   -0.31835E+02
   116    0.31529E+04    0.93082E+00    0.35214E-02   -0.32415E+02
   117    0.31862E+04    0.94062E+00    0.35840E-02   -0.32987E+02
   118    0.32197E+04    0.95020E+00    0.36474E-02   -0.33552E+02
   119    0.32531E+04    0.95943E+00    0.37114E-02   -0.34107E+02
   120    0.32867E+04    0.96815E+00    0.37762E-02   -0.34652E+02
   121    0.33203E+04    0.97666E+00    0.38416E-02   -0.35187E+02
   122    0.33539E+04    0.98467E+00    0.39077E-02   -0.35712E+02
   123    0.33876E+04    0.99224E+00    0.39745E-02   -0.36226E+02
   124    0.34213E+04    0.99946E+00    0.40421E-02   -0.36727E+02
   125    0.34550E+04    0.10062E+01    0.41104E-02   -0.37216E+02
   126    0.34888E+04    0.10127E+01    0.41794E-02   -0.37693E+02
   127    0.35226E+04    0.10186E+01    0.42491E-02   -0.38158E+02
   128    0.35563E+04    0.10242E+01    0.43196E-02   -0.38608E+02
   129    0.35901E+04    0.10293E+01    0.43908E-02   -0.39045E+02
   130    0.36239E+04    0.10338E+01    0.44628E-02   -0.39466E+02
   131    0.36577E+04    0.10380E+01    0.45355E-02   -0.39874E+02
   132    0.36915E+04    0.10418E+01    0.46090E-02   -0.40265E+02
   133    0.37252E+04    0.10450E+01    0.46832E-02   -0.40642E+02
   134    0.37589E+04    0.10479E+01    0.47582E-02   -0.41000E+02
   135    0.37926E+04    0.10503E+01    0.48339E-02   -0.41342E+02
   136    0.38261E+04    0.10521E+01    0.49104E-02   -0.41665E+02
   137    0.38596E+04    0.10536E+01    0.49877E-02   -0.41971E+02
   138    0.38931E+04    0.10545E+01    0.50658E-02   -0.42258E+02
   139    0.39263E+04    0.10551E+01    0.51446E-02   -0.42526E+02
   140    0.39595E+04    0.10551E+01    0.52243E-02   -0.42775E+02
   141    0.39925E+04    0.10546E+01    0.53047E-02   -0.43004E+02
   142    0.40255E+04    0.10537E+01    0.53859E-02   -0.43213E+02
   143    0.40585E+04    0.10524E+01    0.54678E-02   -0.43402E+02
   144    0.40911E+04    0.10505E+01    0.55506E-02   -0.43570E+02
   145    0.41237E+04    0.10483E+01    0.56342E-02   -0.43718E+02
   146    0.41563E+04    0.10456E+01    0.57185E-02   -0.43843E+02
   147    0.41885E+04    0.10425E+01    0.58037E-02   -0.43947E+02
   148    0.42206E+04    0.10389E+01    0.58896E-02   -0.44029E+02
