#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.11355E+04    0.34563E+01    0.13957E-02    0.76339E-01    0.11742E-01    0.34563E+01    0.54909E-01   -0.66861E-05    0.16882E-05   -0.10172E-05    0.13957E-02   -0.66861E-05    0.81391E-08    0.33008E-06    0.29933E-07    0.76339E-01    0.16882E-05    0.33008E-06    0.74344E-04   -0.30063E-06    0.11742E-01   -0.10172E-05    0.29933E-07   -0.30063E-06    0.10402E-05
     3    0.10552E+04    0.42959E+01    0.98249E-03    0.99404E-01    0.17436E-01    0.42959E+01    0.88312E-01   -0.57379E-05    0.10361E-04   -0.66470E-06    0.98249E-03   -0.57379E-05    0.49408E-08    0.41439E-06    0.45871E-07    0.99404E-01    0.10361E-04    0.41439E-06    0.17014E-03   -0.39983E-06    0.17436E-01   -0.66470E-06    0.45871E-07   -0.39983E-06    0.25770E-05
     4    0.98127E+03    0.43864E+01    0.74209E-03    0.11731E+00    0.22578E-01    0.43864E+01    0.97755E-01   -0.44323E-05    0.13449E-04    0.25491E-05    0.74209E-03   -0.44323E-05    0.34129E-08    0.48136E-06    0.60422E-07    0.11731E+00    0.13449E-04    0.48136E-06    0.31377E-03   -0.44773E-06    0.22578E-01    0.25491E-05    0.60422E-07   -0.44773E-06    0.50880E-05
     5    0.92440E+03    0.40402E+01    0.58511E-03    0.13141E+00    0.27268E-01    0.40402E+01    0.85338E-01   -0.31514E-05    0.12153E-04    0.58256E-05    0.58511E-03   -0.31514E-05    0.25341E-08    0.53407E-06    0.73860E-07    0.13141E+00    0.12153E-04    0.53407E-06    0.50793E-03   -0.41451E-06    0.27268E-01    0.58256E-05    0.73860E-07   -0.41451E-06    0.87559E-05
     6    0.88310E+03    0.34959E+01    0.47551E-03    0.14231E+00    0.31589E-01    0.34959E+01    0.62030E-01   -0.20283E-05    0.11433E-04    0.82124E-05    0.47551E-03   -0.20283E-05    0.19709E-08    0.57460E-06    0.86273E-07    0.14231E+00    0.11433E-04    0.57460E-06    0.75265E-03   -0.27024E-06    0.31589E-01    0.82124E-05    0.86273E-07   -0.27024E-06    0.13737E-04
     7    0.85438E+03    0.29011E+01    0.39539E-03    0.15055E+00    0.35550E-01    0.29011E+01    0.38881E-01   -0.11203E-05    0.12360E-04    0.97746E-05    0.39539E-03   -0.11203E-05    0.15840E-08    0.60470E-06    0.97698E-07    0.15055E+00    0.12360E-04    0.60470E-06    0.10458E-02   -0.57470E-08    0.35550E-01    0.97746E-05    0.97698E-07   -0.57470E-08    0.20161E-04
     8    0.83492E+03    0.23441E+01    0.33438E-03    0.15659E+00    0.39184E-01    0.23441E+01    0.22214E-01   -0.44786E-06    0.12219E-04    0.10791E-04    0.33438E-03   -0.44786E-06    0.13046E-08    0.62601E-06    0.10823E-06    0.15659E+00    0.12219E-04    0.62601E-06    0.13835E-02    0.40877E-06    0.39184E-01    0.10791E-04    0.10823E-06    0.40877E-06    0.28132E-04
     9    0.82252E+03    0.18691E+01    0.28641E-03    0.16076E+00    0.42541E-01    0.18691E+01    0.13102E-01   -0.34793E-08    0.10305E-04    0.11279E-04    0.28641E-03   -0.34793E-08    0.10953E-08    0.63994E-06    0.11794E-06    0.16076E+00    0.10305E-04    0.63994E-06    0.17613E-02    0.98943E-06    0.42541E-01    0.11279E-04    0.11794E-06    0.98943E-06    0.37743E-04
    10    0.81562E+03    0.15000E+01    0.24798E-03    0.16326E+00    0.45626E-01    0.15000E+01    0.94192E-02    0.24620E-06    0.85862E-05    0.10479E-04    0.24798E-03    0.24620E-06    0.93363E-09    0.64742E-06    0.12684E-06    0.16326E+00    0.85862E-05    0.64742E-06    0.21732E-02    0.17343E-05    0.45626E-01    0.10479E-04    0.12684E-06    0.17343E-05    0.49044E-04
    11    0.81264E+03    0.12445E+01    0.21702E-03    0.16438E+00    0.48443E-01    0.12445E+01    0.82925E-02    0.34871E-06    0.83376E-05    0.10172E-04    0.21702E-03    0.34871E-06    0.80602E-09    0.64966E-06    0.13504E-06    0.16438E+00    0.83376E-05    0.64966E-06    0.26141E-02    0.26602E-05    0.48443E-01    0.10172E-04    0.13504E-06    0.26602E-05    0.62109E-04
    12    0.81364E+03    0.11002E+01    0.19185E-03    0.16432E+00    0.51003E-01    0.11002E+01    0.77398E-02    0.34810E-06    0.81849E-05    0.13876E-04    0.19185E-03    0.34810E-06    0.70299E-09    0.64727E-06    0.14253E-06    0.16432E+00    0.81849E-05    0.64727E-06    0.30769E-02    0.37531E-05    0.51003E-01    0.13876E-04    0.14253E-06    0.37531E-05    0.76957E-04
    13    0.81683E+03    0.10427E+01    0.17113E-03    0.16325E+00    0.53362E-01    0.10427E+01    0.69109E-02    0.27846E-06    0.78319E-05    0.16387E-04    0.17113E-03    0.27846E-06    0.61877E-09    0.64100E-06    0.14936E-06    0.16325E+00    0.78319E-05    0.64100E-06    0.35549E-02    0.50071E-05    0.53362E-01    0.16387E-04    0.14936E-06    0.50071E-05    0.93603E-04
    14    0.82124E+03    0.10431E+01    0.15373E-03    0.16133E+00    0.55565E-01    0.10431E+01    0.60052E-02    0.17170E-06    0.74483E-05    0.12693E-04    0.15373E-03    0.17170E-06    0.54874E-09    0.63162E-06    0.15558E-06    0.16133E+00    0.74483E-05    0.63162E-06    0.40416E-02    0.64177E-05    0.55565E-01    0.12693E-04    0.15558E-06    0.64177E-05    0.11206E-03
    15    0.82715E+03    0.10823E+01    0.13886E-03    0.15872E+00    0.57565E-01    0.10823E+01    0.53139E-02    0.60019E-07    0.72442E-05    0.81823E-05    0.13886E-03    0.60019E-07    0.48993E-09    0.61972E-06    0.16123E-06    0.15872E+00    0.72442E-05    0.61972E-06    0.45315E-02    0.79672E-05    0.57565E-01    0.81823E-05    0.16123E-06    0.79672E-05    0.13232E-03
    16    0.83491E+03    0.11446E+01    0.12592E-03    0.15557E+00    0.59318E-01    0.11446E+01    0.50431E-02   -0.29297E-07    0.72969E-05    0.89827E-05    0.12592E-03   -0.29297E-07    0.43997E-09    0.60585E-06    0.16633E-06    0.15557E+00    0.72969E-05    0.60585E-06    0.50191E-02    0.96339E-05    0.59318E-01    0.89827E-05    0.16633E-06    0.96339E-05    0.15436E-03
