#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11276E+04    0.54983E-01    0.00000E+00    0.33789E+01    0.48850E-07    0.34489E-02   -0.16378E-04
     3    0.10499E+04    0.88312E-01    0.00000E+00    0.42236E+01    0.59293E-07    0.34235E-02   -0.19877E-04
     4    0.97784E+03    0.97755E-01    0.00000E+00    0.43398E+01    0.68262E-07    0.33300E-02   -0.19822E-04
     5    0.92227E+03    0.85338E-01    0.00000E+00    0.40164E+01    0.76029E-07    0.32095E-02   -0.17261E-04
     6    0.88185E+03    0.62030E-01    0.00000E+00    0.34861E+01    0.82784E-07    0.30824E-02   -0.13145E-04
     7    0.85373E+03    0.38882E-01    0.00000E+00    0.28979E+01    0.88711E-07    0.29581E-02   -0.83837E-05
     8    0.83465E+03    0.22214E-01    0.00000E+00    0.23431E+01    0.93942E-07    0.28365E-02   -0.38003E-05
     9    0.82248E+03    0.13102E-01    0.00000E+00    0.18687E+01    0.98586E-07    0.27169E-02   -0.33222E-07
    10    0.81568E+03    0.94192E-02    0.00000E+00    0.14998E+01    0.10271E-06    0.26012E-02    0.25820E-05
    11    0.81273E+03    0.82925E-02    0.00000E+00    0.12446E+01    0.10641E-06    0.24939E-02    0.40066E-05
    12    0.81372E+03    0.77398E-02    0.00000E+00    0.11003E+01    0.10970E-06    0.23970E-02    0.43411E-05
    13    0.81689E+03    0.69109E-02    0.00000E+00    0.10428E+01    0.11263E-06    0.23089E-02    0.37567E-05
    14    0.82129E+03    0.60052E-02    0.00000E+00    0.10432E+01    0.11526E-06    0.22280E-02    0.24790E-05
    15    0.82720E+03    0.53139E-02    0.00000E+00    0.10824E+01    0.11760E-06    0.21512E-02    0.92952E-06
    16    0.83498E+03    0.50431E-02    0.00000E+00    0.11447E+01    0.11969E-06    0.20767E-02   -0.48175E-06
    17    0.84454E+03    0.51885E-02    0.00000E+00    0.12152E+01    0.12156E-06    0.20054E-02   -0.15544E-05
    18    0.85492E+03    0.55083E-02    0.00000E+00    0.12822E+01    0.12323E-06    0.19389E-02   -0.21850E-05
    19    0.86695E+03    0.58697E-02    0.00000E+00    0.13402E+01    0.12471E-06    0.18764E-02   -0.24481E-05
    20    0.87896E+03    0.62504E-02    0.00000E+00    0.13843E+01    0.12602E-06    0.18168E-02   -0.24368E-05
    21    0.89128E+03    0.66952E-02    0.00000E+00    0.14208E+01    0.12716E-06    0.17595E-02   -0.21483E-05
    22    0.90418E+03    0.73362E-02    0.00000E+00    0.14558E+01    0.12817E-06    0.17044E-02   -0.15959E-05
    23    0.91748E+03    0.82279E-02    0.00000E+00    0.14909E+01    0.12905E-06    0.16517E-02   -0.95029E-06
    24    0.93123E+03    0.93663E-02    0.00000E+00    0.15269E+01    0.12980E-06    0.16018E-02   -0.40302E-06
    25    0.94537E+03    0.10760E-01    0.00000E+00    0.15657E+01    0.13045E-06    0.15547E-02   -0.76548E-07
    26    0.95971E+03    0.12379E-01    0.00000E+00    0.16097E+01    0.13099E-06    0.15100E-02   -0.31835E-07
    27    0.97449E+03    0.14178E-01    0.00000E+00    0.16561E+01    0.13145E-06    0.14675E-02   -0.15440E-06
    28    0.98955E+03    0.16144E-01    0.00000E+00    0.17020E+01    0.13182E-06    0.14266E-02   -0.31229E-06
    29    0.10049E+04    0.18287E-01    0.00000E+00    0.17456E+01    0.13211E-06    0.13878E-02   -0.47502E-06
    30    0.10206E+04    0.20624E-01    0.00000E+00    0.17836E+01    0.13231E-06    0.13510E-02   -0.64257E-06
    31    0.10364E+04    0.23139E-01    0.00000E+00    0.18138E+01    0.13244E-06    0.13161E-02   -0.83586E-06
    32    0.10525E+04    0.25806E-01    0.00000E+00    0.18339E+01    0.13251E-06    0.12824E-02   -0.10597E-05
    33    0.10690E+04    0.28637E-01    0.00000E+00    0.18412E+01    0.13252E-06    0.12497E-02   -0.12339E-05
    34    0.10857E+04    0.31661E-01    0.00000E+00    0.18348E+01    0.13248E-06    0.12178E-02   -0.12731E-05
    35    0.11026E+04    0.34900E-01    0.00000E+00    0.18191E+01    0.13239E-06    0.11867E-02   -0.11536E-05
    36    0.11196E+04    0.38374E-01    0.00000E+00    0.17970E+01    0.13225E-06    0.11566E-02   -0.89306E-06
    37    0.11366E+04    0.42076E-01    0.00000E+00    0.17646E+01    0.13207E-06    0.11279E-02   -0.61257E-06
    38    0.11541E+04    0.46002E-01    0.00000E+00    0.17195E+01    0.13185E-06    0.11011E-02   -0.42621E-06
    39    0.11720E+04    0.50165E-01    0.00000E+00    0.16640E+01    0.13159E-06    0.10757E-02   -0.31771E-06
    40    0.11900E+04    0.54584E-01    0.00000E+00    0.16010E+01    0.13129E-06    0.10514E-02   -0.23848E-06
    41    0.12082E+04    0.59281E-01    0.00000E+00    0.15322E+01    0.13096E-06    0.10276E-02   -0.15078E-06
    42    0.12265E+04    0.64257E-01    0.00000E+00    0.14559E+01    0.13060E-06    0.10043E-02   -0.59718E-07
    43    0.12448E+04    0.69508E-01    0.00000E+00    0.13691E+01    0.13020E-06    0.98156E-03    0.18987E-07
    44    0.12632E+04    0.75015E-01    0.00000E+00    0.12700E+01    0.12979E-06    0.95955E-03    0.69651E-07
    45    0.12819E+04    0.80769E-01    0.00000E+00    0.11566E+01    0.12934E-06    0.93831E-03    0.76634E-07
    46    0.13009E+04    0.86768E-01    0.00000E+00    0.10260E+01    0.12887E-06    0.91790E-03    0.30102E-07
    47    0.13201E+04    0.93014E-01    0.00000E+00    0.87974E+00    0.12839E-06    0.89821E-03   -0.56713E-07
    48    0.13393E+04    0.99518E-01    0.00000E+00    0.72361E+00    0.12788E-06    0.87909E-03   -0.16486E-06
    49    0.13587E+04    0.10627E+00    0.00000E+00    0.56267E+00    0.12736E-06    0.86042E-03   -0.27546E-06
    50    0.13785E+04    0.11325E+00    0.00000E+00    0.39518E+00    0.12681E-06    0.84204E-03   -0.36964E-06
    51    0.13985E+04    0.12043E+00    0.00000E+00    0.21761E+00    0.12626E-06    0.82386E-03   -0.43263E-06
    52    0.14189E+04    0.12790E+00    0.00000E+00    0.24735E-01    0.12569E-06    0.80601E-03   -0.46565E-06
    53    0.14392E+04    0.13580E+00    0.00000E+00   -0.18724E+00    0.12511E-06    0.78863E-03   -0.47394E-06
    54    0.14596E+04    0.14412E+00    0.00000E+00   -0.41412E+00    0.12451E-06    0.77189E-03   -0.46272E-06
    55    0.14800E+04    0.15283E+00    0.00000E+00   -0.65163E+00    0.12391E-06    0.75595E-03   -0.43720E-06
    56    0.15008E+04    0.16178E+00    0.00000E+00   -0.90155E+00    0.12329E-06    0.74091E-03   -0.40206E-06
    57    0.15219E+04    0.17087E+00    0.00000E+00   -0.11637E+01    0.12267E-06    0.72668E-03   -0.35990E-06
    58    0.15433E+04    0.18011E+00    0.00000E+00   -0.14387E+01    0.12204E-06    0.71308E-03   -0.31283E-06
    59    0.15648E+04    0.18954E+00    0.00000E+00   -0.17271E+01    0.12140E-06    0.69998E-03   -0.26292E-06
    60    0.15865E+04    0.19922E+00    0.00000E+00   -0.20281E+01    0.12075E-06    0.68720E-03   -0.21227E-06
    61    0.16087E+04    0.20924E+00    0.00000E+00   -0.23407E+01    0.12009E-06    0.67462E-03   -0.16289E-06
    62    0.16307E+04    0.21959E+00    0.00000E+00   -0.26659E+01    0.11943E-06    0.66218E-03   -0.11655E-06
    63    0.16529E+04    0.23022E+00    0.00000E+00   -0.30048E+01    0.11876E-06    0.64987E-03   -0.74959E-07
    64    0.16754E+04    0.24115E+00    0.00000E+00   -0.33586E+01    0.11809E-06    0.63766E-03   -0.39821E-07
    65    0.16980E+04    0.25235E+00    0.00000E+00   -0.37282E+01    0.11741E-06    0.62553E-03   -0.12836E-07
    66    0.17209E+04    0.26374E+00    0.00000E+00   -0.41116E+01    0.11674E-06    0.61347E-03    0.43264E-08
    67    0.17440E+04    0.27534E+00    0.00000E+00   -0.45061E+01    0.11606E-06    0.60156E-03    0.10118E-07
    68    0.17675E+04    0.28718E+00    0.00000E+00   -0.49099E+01    0.11537E-06    0.58992E-03    0.30205E-08
    69    0.17912E+04    0.29922E+00    0.00000E+00   -0.53210E+01    0.11469E-06    0.57863E-03   -0.18481E-07
    70    0.18151E+04    0.31150E+00    0.00000E+00   -0.57411E+01    0.11401E-06    0.56779E-03   -0.55902E-07
    71    0.18393E+04    0.32402E+00    0.00000E+00   -0.61724E+01    0.11332E-06    0.55749E-03   -0.10860E-06
    72    0.18636E+04    0.33674E+00    0.00000E+00   -0.66164E+01    0.11264E-06    0.54769E-03   -0.16730E-06
    73    0.18880E+04    0.34963E+00    0.00000E+00   -0.70737E+01    0.11195E-06    0.53831E-03   -0.22059E-06
    74    0.19127E+04    0.36269E+00    0.00000E+00   -0.75436E+01    0.11127E-06    0.52931E-03   -0.25707E-06
    75    0.19376E+04    0.37591E+00    0.00000E+00   -0.80247E+01    0.11058E-06    0.52061E-03   -0.26534E-06
    76    0.19629E+04    0.38931E+00    0.00000E+00   -0.85165E+01    0.10990E-06    0.51214E-03   -0.23803E-06
    77    0.19884E+04    0.40287E+00    0.00000E+00   -0.90186E+01    0.10921E-06    0.50383E-03   -0.18374E-06
    78    0.20144E+04    0.41663E+00    0.00000E+00   -0.95327E+01    0.10853E-06    0.49558E-03   -0.11506E-06
    79    0.20405E+04    0.43051E+00    0.00000E+00   -0.10055E+02    0.10784E-06    0.48732E-03   -0.44560E-07
    80    0.20668E+04    0.44454E+00    0.00000E+00   -0.10586E+02    0.10716E-06    0.47896E-03    0.15182E-07
    81    0.20934E+04    0.45865E+00    0.00000E+00   -0.11128E+02    0.10648E-06    0.47045E-03    0.54069E-07
    82    0.21202E+04    0.47287E+00    0.00000E+00   -0.11678E+02    0.10580E-06    0.46199E-03    0.71803E-07
    83    0.21472E+04    0.48718E+00    0.00000E+00   -0.12236E+02    0.10512E-06    0.45381E-03    0.70540E-07
    84    0.21744E+04    0.50157E+00    0.00000E+00   -0.12802E+02    0.10444E-06    0.44613E-03    0.52430E-07
    85    0.22018E+04    0.51601E+00    0.00000E+00   -0.13374E+02    0.10377E-06    0.43920E-03    0.19622E-07
    86    0.22294E+04    0.53053E+00    0.00000E+00   -0.13953E+02    0.10310E-06    0.43309E-03   -0.25329E-07
    87    0.22574E+04    0.54508E+00    0.00000E+00   -0.14538E+02    0.10244E-06    0.42723E-03   -0.78233E-07
    88    0.22853E+04    0.55968E+00    0.00000E+00   -0.15128E+02    0.10177E-06    0.42091E-03   -0.13450E-06
    89    0.23137E+04    0.57433E+00    0.00000E+00   -0.15726E+02    0.10111E-06    0.41342E-03   -0.18953E-06
    90    0.23422E+04    0.58898E+00    0.00000E+00   -0.16329E+02    0.10045E-06    0.40403E-03   -0.23875E-06
    91    0.23709E+04    0.60362E+00    0.00000E+00   -0.16937E+02    0.99800E-07    0.39219E-03   -0.27845E-06
    92    0.23998E+04    0.61824E+00    0.00000E+00   -0.17549E+02    0.99149E-07    0.37799E-03   -0.30846E-06
    93    0.24290E+04    0.63283E+00    0.00000E+00   -0.18166E+02    0.98502E-07    0.36167E-03   -0.32950E-06
    94    0.24583E+04    0.64737E+00    0.00000E+00   -0.18786E+02    0.97858E-07    0.34348E-03   -0.34227E-06
    95    0.24879E+04    0.66184E+00    0.00000E+00   -0.19411E+02    0.97218E-07    0.32368E-03   -0.34748E-06
    96    0.25175E+04    0.67623E+00    0.00000E+00   -0.20039E+02    0.96581E-07    0.30250E-03   -0.34585E-06
    97    0.25475E+04    0.69053E+00    0.00000E+00   -0.20669E+02    0.95948E-07    0.28019E-03   -0.33808E-06
    98    0.25777E+04    0.70474E+00    0.00000E+00   -0.21299E+02    0.95319E-07    0.25701E-03   -0.32488E-06
    99    0.26080E+04    0.71882E+00    0.00000E+00   -0.21934E+02    0.94693E-07    0.23320E-03   -0.30695E-06
   100    0.26385E+04    0.73276E+00    0.00000E+00   -0.22567E+02    0.94072E-07    0.20900E-03   -0.28501E-06
   101    0.26692E+04    0.74662E+00    0.00000E+00   -0.23202E+02    0.93454E-07    0.18466E-03   -0.25977E-06
   102    0.27004E+04    0.76027E+00    0.00000E+00   -0.23837E+02    0.92840E-07    0.16043E-03   -0.23192E-06
   103    0.27316E+04    0.77378E+00    0.00000E+00   -0.24472E+02    0.92230E-07    0.13655E-03   -0.20217E-06
   104    0.27629E+04    0.78713E+00    0.00000E+00   -0.25105E+02    0.91624E-07    0.11328E-03   -0.17123E-06
   105    0.27944E+04    0.80027E+00    0.00000E+00   -0.25737E+02    0.91022E-07    0.90848E-04   -0.13980E-06
   106    0.28261E+04    0.81327E+00    0.00000E+00   -0.26368E+02    0.90424E-07    0.69511E-04   -0.10859E-06
   107    0.28578E+04    0.82598E+00    0.00000E+00   -0.26996E+02    0.89830E-07    0.49512E-04   -0.78302E-07
   108    0.28898E+04    0.83847E+00    0.00000E+00   -0.27621E+02    0.89241E-07    0.31097E-04   -0.49639E-07
   109    0.29219E+04    0.85067E+00    0.00000E+00   -0.28243E+02    0.88656E-07    0.14511E-04   -0.23304E-07
   110    0.29542E+04    0.86258E+00    0.00000E+00   -0.28860E+02    0.88075E-07    0.00000E+00    0.00000E+00
   111    0.29865E+04    0.87428E+00    0.00000E+00   -0.29473E+02    0.87499E-07   -0.12257E-04    0.19726E-07
   112    0.30191E+04    0.88569E+00    0.00000E+00   -0.30082E+02    0.86927E-07   -0.22340E-04    0.35956E-07
   113    0.30518E+04    0.89681E+00    0.00000E+00   -0.30684E+02    0.86360E-07   -0.30399E-04    0.48926E-07
   114    0.30846E+04    0.90758E+00    0.00000E+00   -0.31280E+02    0.85797E-07   -0.36580E-04    0.58874E-07
   115    0.31177E+04    0.91813E+00    0.00000E+00   -0.31870E+02    0.85238E-07   -0.41030E-04    0.66036E-07
   116    0.31507E+04    0.92824E+00    0.00000E+00   -0.32452E+02    0.84684E-07   -0.43897E-04    0.70650E-07
   117    0.31840E+04    0.93800E+00    0.00000E+00   -0.33026E+02    0.84133E-07   -0.45328E-04    0.72952E-07
   118    0.32175E+04    0.94754E+00    0.00000E+00   -0.33593E+02    0.83588E-07   -0.45469E-04    0.73180E-07
   119    0.32509E+04    0.95672E+00    0.00000E+00   -0.34149E+02    0.83046E-07   -0.44468E-04    0.71568E-07
   120    0.32845E+04    0.96540E+00    0.00000E+00   -0.34696E+02    0.82509E-07   -0.42471E-04    0.68354E-07
   121    0.33181E+04    0.97387E+00    0.00000E+00   -0.35234E+02    0.81976E-07   -0.39625E-04    0.63774E-07
   122    0.33518E+04    0.98183E+00    0.00000E+00   -0.35761E+02    0.81448E-07   -0.36077E-04    0.58064E-07
   123    0.33855E+04    0.98935E+00    0.00000E+00   -0.36277E+02    0.80923E-07   -0.31974E-04    0.51460E-07
