#    L    TT             EE             TE             PP             TP          
     2    0.11276E+04    0.54983E-01    0.33789E+01    0.10133E+07    0.32149E+05
     3    0.10499E+04    0.88312E-01    0.42236E+01    0.15567E+07    0.38079E+05
     4    0.97784E+03    0.97755E-01    0.43398E+01    0.20391E+07    0.40805E+05
     5    0.92227E+03    0.85338E-01    0.40164E+01    0.24643E+07    0.41812E+05
     6    0.88185E+03    0.62030E-01    0.34861E+01    0.28387E+07    0.41889E+05
     7    0.85373E+03    0.38882E-01    0.28979E+01    0.31700E+07    0.41462E+05
     8    0.83465E+03    0.22214E-01    0.23431E+01    0.34644E+07    0.40708E+05
     9    0.82248E+03    0.13102E-01    0.18687E+01    0.37271E+07    0.39725E+05
    10    0.81568E+03    0.94192E-02    0.14998E+01    0.39619E+07    0.38610E+05
    11    0.81273E+03    0.82925E-02    0.12446E+01    0.41732E+07    0.37482E+05
    12    0.81372E+03    0.77398E-02    0.11003E+01    0.43626E+07    0.36403E+05
    13    0.81689E+03    0.69109E-02    0.10428E+01    0.45327E+07    0.35380E+05
    14    0.82129E+03    0.60052E-02    0.10432E+01    0.46860E+07    0.34402E+05
    15    0.82720E+03    0.53139E-02    0.10824E+01    0.48242E+07    0.33440E+05
    16    0.83498E+03    0.50431E-02    0.11447E+01    0.49487E+07    0.32471E+05
    17    0.84454E+03    0.51885E-02    0.12152E+01    0.50609E+07    0.31521E+05
    18    0.85492E+03    0.55083E-02    0.12822E+01    0.51623E+07    0.30617E+05
    19    0.86695E+03    0.58697E-02    0.13402E+01    0.52534E+07    0.29754E+05
    20    0.87896E+03    0.62504E-02    0.13843E+01    0.53349E+07    0.28917E+05
    21    0.89128E+03    0.66952E-02    0.14208E+01    0.54078E+07    0.28101E+05
    22    0.90418E+03    0.73362E-02    0.14558E+01    0.54732E+07    0.27304E+05
    23    0.91748E+03    0.82279E-02    0.14909E+01    0.55316E+07    0.26535E+05
    24    0.93123E+03    0.93663E-02    0.15269E+01    0.55834E+07    0.25801E+05
    25    0.94537E+03    0.10760E-01    0.15657E+01    0.56292E+07    0.25102E+05
    26    0.95971E+03    0.12379E-01    0.16097E+01    0.56695E+07    0.24436E+05
    27    0.97449E+03    0.14178E-01    0.16561E+01    0.57048E+07    0.23796E+05
    28    0.98955E+03    0.16144E-01    0.17020E+01    0.57355E+07    0.23178E+05
    29    0.10049E+04    0.18287E-01    0.17456E+01    0.57617E+07    0.22587E+05
    30    0.10206E+04    0.20624E-01    0.17836E+01    0.57834E+07    0.22026E+05
    31    0.10364E+04    0.23139E-01    0.18138E+01    0.58012E+07    0.21490E+05
    32    0.10525E+04    0.25806E-01    0.18339E+01    0.58156E+07    0.20971E+05
    33    0.10690E+04    0.28637E-01    0.18412E+01    0.58269E+07    0.20464E+05
    34    0.10857E+04    0.31661E-01    0.18348E+01    0.58352E+07    0.19968E+05
    35    0.11026E+04    0.34900E-01    0.18191E+01    0.58406E+07    0.19481E+05
    36    0.11196E+04    0.38374E-01    0.17970E+01    0.58435E+07    0.19008E+05
    37    0.11366E+04    0.42076E-01    0.17646E+01    0.58440E+07    0.18557E+05
    38    0.11541E+04    0.46002E-01    0.17195E+01    0.58422E+07    0.18135E+05
    39    0.11720E+04    0.50165E-01    0.16640E+01    0.58384E+07    0.17735E+05
    40    0.11900E+04    0.54584E-01    0.16010E+01    0.58325E+07    0.17350E+05
    41    0.12082E+04    0.59281E-01    0.15322E+01    0.58247E+07    0.16972E+05
    42    0.12265E+04    0.64257E-01    0.14559E+01    0.58152E+07    0.16601E+05
    43    0.12448E+04    0.69508E-01    0.13691E+01    0.58040E+07    0.16239E+05
    44    0.12632E+04    0.75015E-01    0.12700E+01    0.57913E+07    0.15887E+05
    45    0.12819E+04    0.80769E-01    0.11566E+01    0.57772E+07    0.15547E+05
    46    0.13009E+04    0.86768E-01    0.10260E+01    0.57618E+07    0.15220E+05
    47    0.13201E+04    0.93014E-01    0.87974E+00    0.57452E+07    0.14903E+05
